Year,Region,Round,TeamA,SeedA,ScoreA,TeamB,SeedB,ScoreB,Winner,Location
2011,West,R32,Duke,1,73,Michigan,8,71,Duke,"Charlotte, NC"
2011,West,R32,Arizona,5,70,Texas,4,69,Arizona,"Tulsa, OK"
2011,West,R32,Cincinnati,6,58,UConn,3,69,UConn,"Washington, DC"
2011,West,R32,Temple,7,64,San Diego State,2,71,San Diego State,"Tucson, AZ"
2011,West,S16,Duke,1,77,Arizona,5,93,Arizona,"Anaheim, CA"
2011,West,S16,UConn,3,74,San Diego State,2,67,UConn,"Anaheim, CA"
2011,West,E8,Arizona,5,63,UConn,3,65,UConn,"Anaheim, CA"
2011,National,F4,UConn,3,56,Kentucky,4,55,UConn,"Houston, TX"
2011,National,F4,VCU,11,62,Butler,8,70,Butler,"Houston, TX"
2011,National,Championship,UConn,3,53,Butler,8,41,UConn,"Houston, TX"
2012,East,R64,Syracuse,1,72,UNC Asheville,16,65,Syracuse,"Pittsburgh, PA"
2012,East,R64,Kansas State,8,70,Southern Miss,9,64,Kansas State,"Pittsburgh, PA"
2012,East,R64,Vanderbilt,5,79,Harvard,12,70,Vanderbilt,"Albuquerque, NM"
2012,East,R64,Wisconsin,4,73,Montana,13,49,Wisconsin,"Albuquerque, NM"
2012,East,R64,Cincinnati,6,65,Texas,11,59,Cincinnati,"Nashville, TN"
2012,East,R64,Florida State,3,66,St. Bonaventure,14,63,Florida State,"Nashville, TN"
2012,East,R64,Gonzaga,7,77,West Virginia,10,54,Gonzaga,"Pittsburgh, PA"
2012,East,R64,Ohio State,2,78,Loyola (MD),15,59,Ohio State,"Pittsburgh, PA"
2012,East,R32,Syracuse,1,75,Kansas State,8,59,Syracuse,"Pittsburgh, PA"
2012,East,R32,Vanderbilt,5,57,Wisconsin,4,60,Wisconsin,"Albuquerque, NM"
2012,East,R32,Cincinnati,6,62,Florida State,3,56,Cincinnati,"Nashville, TN"
2012,East,R32,Gonzaga,7,66,Ohio State,2,73,Ohio State,"Pittsburgh, PA"
2012,East,S16,Syracuse,1,64,Wisconsin,4,63,Syracuse,"Boston, MA"
2012,East,S16,Cincinnati,6,66,Ohio State,2,81,Ohio State,"Boston, MA"
2012,East,E8,Syracuse,1,70,Ohio State,2,77,Ohio State,"Boston, MA"
2012,Midwest,R64,UNC,1,77,Vermont,16,58,UNC,"Greensboro, NC"
2012,Midwest,R64,Creighton,8,58,Alabama,9,57,Creighton,"Greensboro, NC"
2012,Midwest,R64,Temple,5,44,South Florida,12,58,South Florida,"Nashville, TN"
2012,Midwest,R64,Michigan,4,60,Ohio,13,65,Ohio,"Nashville, TN"
2012,Midwest,R64,San Diego State,6,65,NC State,11,79,NC State,"Columbus, OH"
2012,Midwest,R64,Georgetown,3,74,Belmont,14,59,Georgetown,"Columbus, OH"
2012,Midwest,R64,Saint Mary's,7,69,Purdue,10,72,Purdue,"Omaha, NE"
2012,Midwest,R64,Kansas,2,65,Detroit Mercy,15,50,Kansas,"Omaha, NE"
2012,Midwest,R32,UNC,1,87,Creighton,8,73,UNC,"Greensboro, NC"
2012,Midwest,R32,South Florida,12,56,Ohio,13,62,Ohio,"Nashville, TN"
2012,Midwest,R32,NC State,11,66,Georgetown,3,63,NC State,"Columbus, OH"
2012,Midwest,R32,Purdue,10,60,Kansas,2,63,Kansas,"Omaha, NE"
2012,Midwest,S16,UNC,1,73,Ohio,13,65,UNC,"St. Louis, MO"
2012,Midwest,S16,NC State,11,57,Kansas,2,60,Kansas,"St. Louis, MO"
2012,Midwest,E8,UNC,1,67,Kansas,2,80,Kansas,"St. Louis, MO"
2012,South,R64,Kentucky,1,81,Western Kentucky,16,66,Kentucky,"Louisville, KY"
2012,South,R64,Iowa State,8,77,UConn,9,64,Iowa State,"Louisville, KY"
2012,South,R64,Wichita State,5,59,VCU,12,62,VCU,"Portland, OR"
2012,South,R64,Indiana,4,79,New Mexico State,13,66,Indiana,"Portland, OR"
2012,South,R64,UNLV,6,64,Colorado,11,68,Colorado,"Albuquerque, NM"
2012,South,R64,Baylor,3,68,South Dakota State,14,60,Baylor,"Albuquerque, NM"
2012,South,R64,Notre Dame,7,63,Xavier,10,67,Xavier,"Greensboro, NC"
2012,South,R64,Duke,2,70,Lehigh,15,75,Lehigh,"Greensboro, NC"
2012,South,R32,Kentucky,1,87,Iowa State,8,71,Kentucky,"Louisville, KY"
2012,South,R32,VCU,12,61,Indiana,4,63,Indiana,"Portland, OR"
2012,South,R32,Colorado,11,63,Baylor,3,80,Baylor,"Albuquerque, NM"
2012,South,R32,Xavier,10,70,Lehigh,15,58,Xavier,"Greensboro, NC"
2012,South,S16,Kentucky,1,102,Indiana,4,90,Kentucky,"Atlanta, GA"
2012,South,S16,Baylor,3,75,Xavier,10,70,Baylor,"Atlanta, GA"
2012,South,E8,Kentucky,1,82,Baylor,3,70,Kentucky,"Atlanta, GA"
2012,West,R64,Michigan State,1,89,LIU,16,67,Michigan State,"Columbus, OH"
2012,West,R64,Memphis,8,54,Saint Louis,9,61,Saint Louis,"Columbus, OH"
2012,West,R64,New Mexico,5,75,Long Beach State,12,68,New Mexico,"Portland, OR"
2012,West,R64,Louisville,4,69,Davidson,13,62,Louisville,"Portland, OR"
2012,West,R64,Murray State,6,58,Colorado State,11,41,Murray State,"Louisville, KY"
2012,West,R64,Marquette,3,88,BYU,14,68,Marquette,"Louisville, KY"
2012,West,R64,Florida,7,71,Virginia,10,45,Florida,"Omaha, NE"
2012,West,R64,Missouri,2,84,Norfolk State,15,86,Norfolk State,"Omaha, NE"
2012,West,R32,Michigan State,1,65,Saint Louis,9,61,Michigan State,"Columbus, OH"
2012,West,R32,New Mexico,5,56,Louisville,4,59,Louisville,"Portland, OR"
