,Team,Elite 8,Seed,Win,AdjOE,AdjDE,AdjOD,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,bluePower,Conf_A10,Conf_ACC,Conf_AE,Conf_ASun,Conf_Amer,Conf_B10,Conf_B12,Conf_BE,Conf_BSky,Conf_BSth,Conf_BW,Conf_CAA,Conf_CUSA,Conf_Horz,Conf_Ivy,Conf_MAAC,Conf_MAC,Conf_MEAC,Conf_MVC,Conf_MWC,Conf_NEC,Conf_OVC,Conf_P12,Conf_Pat,Conf_SB,Conf_SC,Conf_SEC,Conf_SWAC,Conf_Slnd,Conf_Sum,Conf_WAC,Conf_WCC,bluePower_Barthag,bluePower_Seed
1506,Saint Joseph's,0,2.302585092994046,3.332204510175204,4.736198448394496,4.583946549536464,0,0.6176690393839885,3.9569963710708773,3.8897773964808264,2.72785282839839,2.8449093838194073,3.3775875160230218,3.288401887516811,3.655839600035736,3.2386784521643803,3.979681653901961,3.910021002757473,3.517497837358316,3.4657359027997265,3.6027767550605247,3.744787086052232,4.279440045898781,1.3862943611198906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8562711063363629,3.192060730416365
1510,USC,0,2.302585092994046,3.091042453358316,4.743191483885466,4.59511985013459,0,0.6136168416031371,3.970291913552122,3.877431560658527,2.8622008809294686,2.884800712846709,3.5085558999826545,3.493472657771326,3.591817741270805,3.3843902633457743,3.9160150266976834,3.8649313978942956,3.676300671907076,3.505557396986398,3.5085558999826545,3.5667118201397288,4.294560608892605,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.348254005437839,5.059296557734522
1512,Dayton,0,2.3978952727983707,3.258096538021482,4.680277658474897,4.539030383483547,0,0.608297102643552,3.970291913552122,3.8691155044168695,2.9856819377004897,2.9391619220655967,3.3978584803966405,3.202746442938317,3.7376696182833684,3.5115454388310208,3.970291913552122,3.7999735016195233,3.5751506887855933,3.580737295494233,3.5779478934066544,3.629660094453965,4.241326752570746,2.1972245773362196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3365653442508254,5.268714427270919
1516,Wisconsin,0,2.3978952727983707,3.044522437723423,4.711330381816482,4.570578741218473,0,0.6075892921982986,3.912023005428146,3.901972669574645,2.8903717578961645,2.9856819377004897,3.543853682063679,3.374168709274236,3.7062280924485496,3.563882963939251,3.8628327612373745,3.8308129500026027,3.6054978451748854,3.6635616461296463,3.5496173867804286,3.4111477125153233,4.177459468932607,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3350101257444194,5.268714427270919
1520,Michigan,0,1.9459101490553132,3.091042453358316,4.751000634199631,4.612145799724517,0,0.6061176215868425,4.02535169073515,3.955082494888593,2.7536607123542622,2.928523523860541,3.2347491740244907,3.3068867021909143,3.380994674344636,3.3250360206965914,3.9871304779149512,3.9454577815143836,3.673765816303888,3.5751506887855933,3.817712325956905,3.629660094453965,4.212127597878484,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3317765349071846,4.27560160479232
1522,Providence,0,2.1972245773362196,3.1780538303479458,4.699570861409576,4.565389315976247,0,0.6025110603005011,3.893859034800475,3.9080149840306073,2.8507065015037334,3.077312260546414,3.462606009790799,3.4404180948154366,3.655839600035736,3.3603753871419,3.893859034800475,3.9160150266976834,3.4995332823830174,3.4995332823830174,3.634951112088381,3.543853682063679,4.255612709818223,2.1972245773362196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.323852109809166,4.827795843250328
1524,Notre Dame,1,2.4849066497880004,3.091042453358316,4.782479200958502,4.6491870714048655,0,0.6016347800538379,3.9982007016691985,3.9160150266976834,2.760009940032921,2.760009940032921,3.520460802488973,3.475067230228611,3.5322256440685598,3.32862668882732,3.979681653901961,3.8394523125933104,3.634951112088381,3.653252276470785,3.56953269648137,3.5610460826040513,4.203198967134183,1.791759469228055,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.077984814178402,4.452355019905411
1530,Texas Tech,0,2.302585092994046,2.995732273553991,4.730921391293652,4.600157644164547,0,0.5989463851611183,3.929862923556477,3.9180050771056933,2.928523523860541,2.990719731730447,3.487375077903208,3.5085558999826545,3.7864597824528,3.5234150143864045,3.9160150266976834,3.8753590210565547,3.56953269648137,3.5890591188317256,3.4468078929142076,3.6609942506244004,4.223909766576744,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3160197179826947,5.059296557734522
1535,Yale,0,1.791759469228055,3.091042453358316,4.693181063310805,4.56746831880408,0,0.5943760184599248,3.979681653901961,3.856510295497887,3.0492730404820207,2.954910279033736,3.6938669956249757,3.2188758248682006,3.763522997109702,3.5496173867804286,3.9531649487593215,3.8394523125933104,3.6402142821326553,3.490428515390098,3.459466289786131,3.5667118201397288,4.216562194946349,1.791759469228055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0649788593576395,3.210401995568401
1543,Colorado,0,2.302585092994046,3.091042453358316,4.689511334421843,4.5685062016165,0,0.5898401106940165,3.899950424193877,3.8691155044168695,2.9856819377004897,2.797281334830153,3.58351893845611,3.242592351485517,3.713572066704308,3.597312260588446,3.7999735016195233,3.8155121050473024,3.686376323895818,3.591817741270805,3.5085558999826545,3.3945083935113587,4.2612704335380815,1.791759469228055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0568516036665283,4.125678644075443
1555,Hawaii,0,1.6094379124341003,3.258096538021482,4.684905154006945,4.5736795188967205,0,0.5794184152316024,3.979681653901961,3.8264651170664994,2.9652730660692823,3.039749158970765,3.462606009790799,3.3214324131932926,3.856510295497887,3.696351468952637,4.018183201256536,3.8022081394209395,3.520460802488973,3.475067230228611,3.703768066607687,3.543853682063679,4.282206299391671,1.0986122886681098,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63655619125404,1.7681482684484517
1557,Oregon St.,0,2.3978952727983707,2.9444389791664403,4.707726774313183,4.596129441335942,0,0.579362391253325,3.929862923556477,3.919991175077323,2.8791984572980396,3.0204248861443626,3.414442608412176,3.505557396986398,3.6428355156125294,3.696351468952637,3.8732821771117156,3.9219733362813143,3.6454498961866,3.520460802488973,3.490428515390098,3.6888794541139363,4.23410650459726,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8031668160394203,3.324188695236423
1561,Little Rock,0,1.791759469228055,3.332204510175204,4.681204872264089,4.570578741218473,0,0.57874592024997,3.977810745966149,3.8308129500026027,2.8273136219290276,3.109060958860994,3.32862668882732,3.4372078191851885,3.4781584227982836,3.6712245188752153,3.919991175077323,3.8308129500026027,3.681351187693145,3.4372078191851885,3.5751506887855933,3.713572066704308,4.1728476237100445,1.0986122886681098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6358173800031508,1.968448971231391
1563,Northern Iowa,0,1.9459101490553132,3.091042453358316,4.69866052907543,4.591071261608589,0,0.5745325492237031,3.9945242269398897,3.903990833730882,2.785011242238338,2.9806186357439426,2.9338568698359038,3.339321977944068,3.520460802488973,3.202746442938317,3.960813169597578,3.901972669574645,3.6428355156125294,3.5145260669691587,3.768152635008444,3.686376323895818,4.165113633110308,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7964712332686555,2.6976042668813465
