,Seed,Team,Index,Projected,Actual
663,10,Oklahoma,,0.0,0
664,10,Colorado,,0.0,0
665,11,St Marys,,7.3,1
666,11,Middle Tennessee St,,0.0,0
667,11,Belmont,,0.0,0
668,11,Minnesota,,6.3,7
669,11,Bucknell,,0.0,0
670,13,La Salle,,0.9,17
671,13,Boise St,,0.1,0
672,12,Oregon,,0.9,21
673,12,Mississippi,,0.0,9
674,12,Akron,,0.0,0
675,12,California,,4.5,9
676,13,New Mexico St,,0.0,0
677,13,South Dakota St,,0.0,0
678,13,Montana,,0.0,0
679,14,Valparaiso,,0.0,0
680,14,Harvard,,0.0,13
681,14,Northwestern St,,0.0,0
682,14,Davidson,,0.0,0
683,15,Albany,,0.0,0
684,15,Iona,,0.0,0
685,15,Florida Gulf Coast,,0.0,27
686,15,Pacific,,0.0,0
