,Team,Seed,Win,AdjOE,AdjDE,Barthag,AdjOD,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,bluePower,Conf_A10,Conf_ACC,Conf_AE,Conf_ASun,Conf_Amer,Conf_B10,Conf_B12,Conf_BE,Conf_BSky,Conf_BSth,Conf_BW,Conf_CAA,Conf_CUSA,Conf_Horz,Conf_Ivy,Conf_MAAC,Conf_MAC,Conf_MEAC,Conf_MVC,Conf_MWC,Conf_NEC,Conf_OVC,Conf_Pat,Conf_SB,Conf_SC,Conf_SEC,Conf_SWAC,Conf_Slnd,Conf_Sum,Conf_WAC,Conf_WCC,Conf_P12,bluePower_Barthag,bluePower_Seed
44,Illinois,2.4849066497880004,3.091042453358316,4.81380905109942,4.600157644164547,0.6537824570376686,0,3.975936331171799,3.877431560658527,2.8213788864092133,2.617395832834079,3.6109179126442243,3.3068867021909143,3.572345637857985,3.3250360206965914,4.065602093356446,3.8522730010223722,3.4688560301359703,3.535145354171894,3.8691155044168695,3.4468078929142076,4.280824129164719,1.791759469228055,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1714209082124267,4.452355019905411
46,Saint Mary's,2.3978952727983707,3.367295829986474,4.7535901911063645,4.541164856012179,0.6532102109562443,0,3.949318790171843,3.8543938925915096,2.7788192719904172,2.8678989020441064,3.7256934272366524,3.254242968705492,3.4781584227982836,3.258096538021482,3.966511190712216,3.845883202923601,3.5145260669691587,3.4719664525503626,3.5380565643793527,3.475067230228611,4.139955073474153,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.4352495296800367,5.268714427270919
48,UCLA,2.3978952727983707,3.1354942159291497,4.778282803696737,4.56746831880408,0.6525855688038225,1,3.9889840465642745,3.9415818076696905,2.8273136219290276,3.169685580677429,3.520460802488973,3.407841924380824,3.5234150143864045,3.572345637857985,3.9908341858524357,3.955082494888593,3.5890591188317256,3.5322256440685598,3.6109179126442243,3.824284091120139,4.189654742026425,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4338770505906953,5.268714427270919
51,Michigan,2.5649493574615367,3.258096538021482,4.754451888703846,4.558078578454241,0.6456361978888936,0,4.0163830207523885,3.856510295497887,3.0349529867072724,2.833213344056216,3.5322256440685598,3.427514689979529,3.58351893845611,3.3843902633457743,4.072439726834051,3.8480176754522337,3.5380565643793527,3.475067230228611,3.7727609380946383,3.686376323895818,4.254193263163997,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.418607722019388,5.635769767837233
53,Baylor,2.1972245773362196,2.995732273553991,4.799914262780603,4.60816569496789,0.6432739300642178,0,3.960813169597578,3.955082494888593,2.8390784635086144,2.9856819377004897,3.6000482404073204,3.4719664525503626,3.4657359027997265,3.5409593240373143,3.955082494888593,3.927896354584436,3.5751506887855933,3.594568774642695,3.7184382563554808,3.7328963395307104,4.183575695950044,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41341728909676,4.827795843250328
55,Mississippi,2.4849066497880004,3.1354942159291497,4.774068722449905,4.583946549536464,0.6420117684451749,0,3.9531649487593215,3.9415818076696905,2.624668592163159,3.068052935133617,3.2733640101522705,3.459466289786131,3.6000482404073204,3.7013019741124933,3.9512437185814275,3.9627161197436642,3.55820113047182,3.517497837358316,3.7184382563554808,3.8066624897703196,4.23410650459726,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8900172943681549,3.4448120765104235
57,VCU,1.9459101490553132,3.367295829986474,4.763881877142913,4.574710978503383,0.641959143790512,0,3.977810745966149,3.8155121050473024,2.8791984572980396,3.0726933146901194,3.629660094453965,3.4339872044851463,3.502549875922443,3.6136169696133895,4.01096295328305,3.7977338590260183,3.5409593240373143,3.4531571205928664,3.879499813722586,3.591817741270805,4.206184043977636,2.1972245773362196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4105284083822291,4.27560160479232
59,Georgia,2.1972245773362196,3.044522437723423,4.761318868478023,4.572646994282532,0.6418012532083573,0,3.979681653901961,3.8753590210565547,2.9856819377004897,2.9444389791664403,3.6136169696133895,3.490428515390098,3.708682081410116,3.4468078929142076,4.00369019395397,3.8877303128591016,3.5409593240373143,3.462606009790799,3.632309102625542,3.728100167267218,4.210645017918261,1.0986122886681098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7050907436572945,2.413897921625164
61,Marquette,2.3978952727983707,3.1780538303479458,4.768139014266231,4.579852378003801,0.6409587488143591,0,3.970291913552122,3.929862923556477,2.6741486494265287,3.1135153092103742,3.4372078191851885,3.4657359027997265,3.299533727885655,3.4404180948154366,4.023564380161053,3.9569963710708773,3.5115454388310208,3.490428515390098,3.856510295497887,3.708682081410116,4.229749199228304,2.1972245773362196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4083303159535823,5.268714427270919
63,Mississippi St.,2.302585092994046,3.091042453358316,4.78164132910387,4.603168183317418,0.6359417067891662,0,3.9646154555473165,3.9684033388642534,2.7788192719904172,2.995732273553991,3.55820113047182,3.417726683613366,3.484312288372662,3.594568774642695,4.028916756899646,3.933784497209659,3.4781584227982836,3.6136169696133895,3.768152635008444,3.8110970868381857,4.23410650459726,1.791759469228055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.1394545750165397,4.125678644075443
65,Creighton,2.1972245773362196,3.2188758248682006,4.773223770984341,4.597138014290827,0.6340339160674388,0,4.039536325727106,3.871201010907891,2.9496883350525844,2.5416019934645457,3.32862668882732,3.339321977944068,3.3843902633457743,2.884800712846709,4.119037174812473,3.845883202923601,3.5524868292083815,3.517497837358316,3.912023005428146,3.5890591188317256,4.220977213155467,2.1972245773362196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3931149032481063,4.827795843250328
69,Connecticut,2.302585092994046,3.1780538303479458,4.808927023502111,4.634728988229636,0.6328131415202457,0,4.034240638152395,3.8979240810486444,2.89591193827178,2.803360380906535,3.6000482404073204,3.3463891451671604,3.4531571205928664,3.713572066704308,4.065602093356446,3.8501476017100584,3.594568774642695,3.586292865338835,3.775057150354989,3.5610460826040513,4.1713056033582285,2.1972245773362196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.390432587409627,5.059296557734522
71,North Carolina,1.9459101490553132,3.1354942159291497,4.785823685681349,4.613138355637268,0.632016180555714,0,4.01096295328305,3.92395157629342,2.7788192719904172,2.785011242238338,3.407841924380824,3.3357695763397,3.5779478934066544,3.4339872044851463,4.023564380161053,3.9160150266976834,3.591817741270805,3.5409593240373143,3.6375861597263857,3.6609942506244004,4.2710950739666,2.1972245773362196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3886814851911804,4.27560160479232
73,Xavier,1.9459101490553132,3.091042453358316,4.76473475565943,4.593097604753822,0.6311121896404127,0,4.005513348515485,3.9435216724875173,2.833213344056216,2.9231615807191558,3.265759410767051,3.265759410767051,3.6428355156125294,3.370738174177447,3.9569963710708773,3.9415818076696905,3.6838669122903918,3.5524868292083815,3.648057459593681,3.6428355156125294,4.248495242049359,2.1972245773362196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3866952141343918,4.27560160479232
75,Colorado St.,1.791759469228055,3.258096538021482,4.769836807543325,4.601162164590552,0.6291951540674282,0,4.039536325727106,3.901972669574645,2.91235066461494,2.8735646395797834,3.3105430133940246,3.269568939183719,3.490428515390098,3.543853682063679,4.051784947803305,3.885679030088544,3.6270040503958487,3.529297384289471,3.7796338173824005,3.6609942506244004,4.204692619390966,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8722496941276365,2.4839060486740205
77,Oregon,2.5649493574615367,3.2188758248682006,4.754451888703846,4.5880240271531205,0.6282886082114488,0,3.9740583963475986,3.914021008090819,2.8449093838194073,2.9231615807191558,3.4531571205928664,3.407841924380824,3.5380565643793527,3.3568971227655755,3.9889840465642745,3.9318256327243257,3.5553480614894135,3.487375077903208,3.6788291182604347,3.648057459593681,4.229749199228304,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3804911716225623,5.635769767837233
79,New Mexico,2.0794415416798357,3.295836866004329,4.724729421045731,4.563305981889393,0.6244935372428972,0,3.9473901492654373,3.9160150266976834,2.8094026953624978,3.068052935133617,3.481240089335692,3.2809112157876537,3.6584202466292277,3.58351893845611,3.9435216724875173,3.8958936234982624,3.55820113047182,3.5496173867804286,3.502549875922443,3.6712245188752153,4.3054155323020415,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8657318692356428,2.882718083509208
83,Vanderbilt,2.0794415416798357,3.044522437723423,4.784152841516532,4.626931677769604,0.6217048831055796,0,3.9646154555473165,3.9871304779149512,2.7536607123542622,3.044522437723423,3.502549875922443,3.4242626545931514,3.5553480614894135,3.6888794541139363,4.000033882750859,3.960813169597578,3.5115454388310208,3.634951112088381,3.7184382563554808,3.6506582412937387,4.257030144499196,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8618659737299657,2.882718083509208
85,Arkansas,2.0794415416798357,3.044522437723423,4.726502471155617,4.5685062016165,0.621436333005945,0,3.983413001514819,3.8979240810486444,2.8622008809294686,2.917770732084279,3.353406717825807,3.3775875160230218,3.597312260588446,3.414442608412176,4.014579593753238,3.901972669574645,3.535145354171894,3.493472657771326,3.629660094453965,3.7013019741124933,4.252771798816619,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.3654351841303578,4.5690000625128535
89,UC San Diego,1.791759469228055,3.4339872044851463,4.740574822994295,4.584967478670572,0.6199849149309613,0,4.032469158504013,3.885679030088544,2.667228206581955,3.190476350346503,3.2809112157876537,3.380994674344636,3.5496173867804286,3.427514689979529,4.044804116661965,3.8543938925915096,3.624340932976365,3.529297384289471,3.92395157629342,3.8133070324889884,4.2017030805426,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42974079577409335,1.2419530243370103
91,Oklahoma,2.1972245773362196,3.044522437723423,4.776599301615622,4.623991940228679,0.6178307862504957,0,4.023564380161053,3.9531649487593215,2.9069010598473755,2.9496883350525844,3.3141860046725258,3.487375077903208,3.703768066607687,3.6054978451748854,4.018183201256536,4.023564380161053,3.6375861597263857,3.449987545831587,3.758871825933971,3.758871825933971,4.239886867512759,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.3575129881845496,4.827795843250328
95,Utah St.,2.0794415416798357,3.295836866004329,4.817050545023591,4.665324108807838,0.6166980083965391,0,4.04305126783455,3.966511190712216,2.833213344056216,3.054001181677967,3.572345637857985,3.4436180975461075,3.653252276470785,3.616308761279101,4.072439726834051,3.9815490680767565,3.6054978451748854,3.5496173867804286,3.768152635008444,3.8155121050473024,4.22829253473184,1.791759469228055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.1049744961985815,3.725859073011031
97,Texas,1.9459101490553132,2.995732273553991,4.768139014266231,4.617098756853365,0.6164820956244599,0,3.979681653901961,3.899950424193877,2.72785282839839,2.8678989020441064,3.427514689979529,3.4242626545931514,3.6270040503958487,3.696351468952637,3.966511190712216,3.8815637979434374,3.6109179126442243,3.535145354171894,3.594568774642695,3.616308761279101,4.223909766576744,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.3545496119938008,4.27560160479232
106,San Diego St.,1.9459101490553132,3.091042453358316,4.699570861409576,4.557029810660157,0.6091131849499358,0,3.9435216724875173,3.835141961092188,2.8791984572980396,3.0301337002713233,3.414442608412176,3.462606009790799,3.4995332823830174,3.6428355156125294,3.9627161197436642,3.828641396489095,3.520460802488973,3.4468078929142076,3.6988297849671046,3.877431560658527,4.2017030805426,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.3383584603515413,4.27560160479232
