Year,Team,Index,tournamentSeed,bartTorvik_Rk,bartTorvik_Conf,bartTorvik_G,bartTorvik_Wins_Overall,bartTorvik_AdjOE,bartTorvik_AdjDE,bartTorvik_Barthag,bartTorvik_EFG%,bartTorvik_EFGD%,bartTorvik_TOR,bartTorvik_TORD,bartTorvik_ORB,bartTorvik_DRB,bartTorvik_FTR,bartTorvik_FTRD,bartTorvik_2P%,bartTorvik_2P%D,bartTorvik_3P%,bartTorvik_3P%D,bartTorvik_3PR,bartTorvik_3PRD,bartTorvik_Adj T.,bartTorvik_WAB,kenpom_Rk,kenpom_NetRtg,kenpom_ORtg,kenpom_ORtg_Rank,kenpom_DRtg,kenpom_DRtg_Rank,kenpom_AdjT,kenpom_AdjT_Rank,kenpom_Luck,kenpom_Luck_Rank,kenpom_SOS_NetRtg,kenpom_SOS_NetRtg_Rank,kenpom_SOS_ORtg,kenpom_SOS_ORtg_Rank,kenpom_SOS_DRtg,kenpom_SOS_DRtg_Rank,kenpom_NCSOS_NetRtg,kenpom_NCSOS_NetRtg_Rank,BPI,BPI_Rank,BPI_Off,BPI_Def,masseyComposite_Rank,LRMCB,PowerRank,tournamentOutcome,elite8_flag
2016,Texas,312,6.0,323.937106918239,,32,20,111.551,95.229,0.860036,49.3198,47.57,15.421,18.5147,30.7135,32.3287,39.798,37.5186,48.5181,45.659,33.9207,34.3152,36.0157,32.681,66.3303,3.125,320.0888888888889,16.19,113.0,312.0,96.8,323.2068965517242,65.3,58.15977961432507,0.022,243.35410764872523,12.54,360.958217270195,111.5,357.9501385041551,99.0,359.921568627451,5.55,333.49720670391065,9.6,311.48852459016393,2.7,7.0,317.9382716049383,36,333.85276073619633,R64,0
2016,USC,339,8.0,320.50314465408803,,33,21,113.832,98.063,0.847139,52.074,47.364,16.568,16.9253,32.482,31.9277,35.3213,28.528,49.2149,46.789,38.528,32.355,32.4243,34.4132,72.345,0.2349,308.5333333333333,14.25,113.9,327.1666666666667,99.7,281.367816091954,71.0,310.8539944903581,-0.028,106.20963172804532,7.61,311.2757660167131,108.7,307.5346260387812,101.1,318.11764705882354,-1.65,150.48044692737432,7.3,287.6196721311475,7.7,-0.4,342.65432098765433,40,311.52147239263803,R64,0
2016,Saint Joseph's,264,8.0,319.35849056603774,,33,26,112.345,96.948,0.84514,50.9128,47.98,14.45,16.3285,28.5213,25.828,37.3159,24.56,51.859,48.7163,32.8253,31.226,36.3149,41.3334,71.274,3.026,315.4666666666667,15.37,114.3,330.4166666666667,98.9,299.14942528735634,70.2,286.78787878787875,0.03,267.07082152974505,4.66,283.899721448468,107.0,279.30193905817174,102.3,281.4117647058824,1.97,254.18994413407825,8.7,304.327868852459,6.5,2.2,319.0617283950617,46,309.2883435582822,R32,0
2016,Dayton,68,7.0,318.21383647798746,,32,25,106.8118,92.611,0.837341,52.074,46.947,18.8217,17.9189,28.9199,23.64,41.07,32.579,52.05,43.721,34.7168,34.9181,34.8186,36.7228,68.5194,2.627,296.97777777777776,12.63,106.6,206.91666666666663,94.0,349.35632183908046,67.8,181.4986225895317,0.082,336.1586402266289,3.89,277.81615598885793,107.3,289.3850415512465,103.4,253.8823529411765,2.58,272.49162011173183,9.0,306.71475409836063,1.6,7.4,333.66666666666663,48,310.4049079754601,R64,0
2016,Wisconsin,374,7.0,315.9245283018868,,32,20,110.269,95.635,0.836043,49.0215,48.5101,17.099,18.813,33.65,28.21,39.798,34.3111,46.6253,45.148,35.8127,38.0322,33.8217,29.317,64.234,0.4944,321.2444444444444,16.55,110.1,268.6666666666667,93.6,351.44827586206895,63.3,20.055096418732784,-0.022,122.70821529745042,9.57,339.6657381615599,110.3,340.808864265928,100.7,328.3137254901961,1.24,228.7709497206704,9.8,315.0688524590164,-0.6,10.3,289.85185185185185,43,331.6196319018405,Sweet Sixteen,0
2016,Michigan,179,11.0,313.6352201257862,,33,21,114.729,99.7101,0.833345,55.016,51.2237,14.78,17.7199,24.432,26.343,28.4339,26.812,52.931,50.7251,38.429,34.7168,44.517,36.7228,66.5295,0.939,307.3777777777778,14.15,114.6,332.5833333333333,100.5,268.81609195402297,65.8,75.20661157024793,0.013,214.4815864022663,8.96,329.52646239554315,110.1,335.76731301939054,101.1,316.078431372549,-2.15,135.2290502793296,10.4,321.0360655737705,4.1,6.3,332.5432098765432,57,294.7730061349693,R64,0
2016,Providence,247,9.0,312.49056603773585,,33,23,108.983,95.127,0.826746,48.1245,48.8114,16.351,20.738,30.913,30.2198,37.7147,27.821,48.1197,49.2192,32.1284,32.148,36.9134,33.6106,69.5143,3.323,314.31111111111113,14.49,110.0,265.41666666666663,95.5,335.7586206896552,68.4,214.58953168044076,0.062,321.7223796033994,8.93,328.5125348189415,109.5,325.6842105263158,100.6,332.3921568627451,-3.13,101.67597765363128,7.4,291.2,3.8,3.6,329.17283950617286,50,317.1042944785276,R32,0
2016,Notre Dame,226,6.0,311.34591194968556,,32,21,118.412,103.5173,0.825147,53.538,49.2129,14.81,14.8335,32.869,31.3251,33.2266,26.914,52.536,45.553,36.965,37.6313,34.5198,34.2124,65.9314,2.328,323.55555555555554,16.6,120.6,355.3333333333333,104.0,199.7816091954023,64.6,40.11019283746557,0.054,309.34844192634563,10.75,352.8467966573816,111.3,355.9335180055402,100.5,335.45098039215685,-1.64,151.4972067039106,11.0,328.1967213114754,6.6,4.4,330.2962962962963,37,326.03680981595096,Elite Eight,1
2016,Texas Tech,317,8.0,307.9119496855346,,31,19,112.443,98.577,0.82025,49.9172,49.3135,17.7137,18.912,31.7107,32.4294,43.133,32.983,49.2149,47.21,34.5176,35.22,30.4279,37.927,67.3256,1.337,302.7555555555556,13.78,113.2,315.25,99.4,289.7356321839081,66.0,91.25068870523415,0.028,260.8838526912181,10.66,349.8050139275766,110.4,342.8254847645429,99.7,356.8627450980392,0.62,211.4860335195531,7.9,297.1672131147541,2.8,5.1,315.69135802469134,55,313.7546012269939,R64,0
2016,Yale,380,12.0,305.62264150943395,,27,21,108.298,95.33,0.811952,52.554,46.329,20.1294,18.217,39.27,24.07,42.15,33.8101,51.175,45.553,37.16,31.838,30.8273,34.4132,66.8283,0.1053,310.84444444444443,14.33,110.4,269.75,96.0,329.48275862068965,66.0,89.24517906336088,0.026,256.75920679886684,-0.85,193.6601671309192,105.5,241.99445983379505,106.4,151.921568627451,-1.0,168.78212290502793,10.5,322.2295081967213,2.4,8.1,256.14814814814815,81,290.30674846625766,R32,0
