Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,180,UT_San_Antonio,American Athletic,,19-Oct,153,,183,142,92,,7-May,163,11-Apr,142,1-Jan,172,,13-Jun,139,6-Apr,180,,0-1,0-2,0-3,2-Jan,10-May,4-Apr
,,,,,(10-17-2),,,,,,,(5-7-0),,(4-9-2),,(1-1-0),,,(6-12-1),,(4-5-1),,,(0-0-1),(0-2-0),(0-2-1),(1-2-0),(5-9-1),(4-4-0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,181,Winthrop,Big South,,20-11,221,,263,142,295,,13-2,257,8-May,187,1-Feb,190,,13-6,235,5-Jul,200,,0-1,0-1,0-2,0-1,5-Jan,19-3
,,,,,(19-11-1),,,,,,,(12-2-1),,(5-8-0),,(2-1-0),,,(12-6-1),,(7-5-0),,,(0-1-0),(0-1-0),(0-2-0),(0-1-0),(1-5-0),(18-3-1)
,182,Montana_St,Big Sky,,14-18,206,,264,163,138,,3-Oct,240,14-Mar,183,1-Jan,186,,10-Oct,240,8-Apr,150,,0-1,0-1,0-2,0-2,8-Jan,13-6
,,,,,(14-17-1),,,,,,,(10-2-1),,(3-14-0),,(1-1-0),,,(10-10-0),,(4-7-1),,,(0-1-0),(0-1-0),(0-2-0),(0-2-0),(1-7-1),(13-6-0)
,183,Pepperdine,West Coast,,22-Dec,155,,225,117,---,,9-Jun,199,11-Feb,112,2-Apr,141,,15-Jul,126,7-May,209,,0-5,0-1,0-6,7-Feb,4-Jan,5-Sep
,,,,,(12-22-0),,,,,,,(6-9-0),,(2-11-0),,(4-2-0),,,(7-15-0),,(5-7-0),,,(0-5-0),(0-1-0),(0-6-0),(2-7-0),(1-4-0),(9-5-0)
,184,Valparaiso,Missouri Valley,,13-19,163,,211,134,146,,7-Aug,191,10-Mar,145,2-Feb,117,,15-Aug,145,4-May,209,,0-0,0-1,0-1,0-4,12-Aug,2-May
,,,,,(12-18-2),,,,,,,(7-7-1),,(3-9-1),,(2-2-0),,,(7-14-2),,(5-4-0),,,(0-0-0),(0-1-0),(0-1-0),(0-4-0),(7-11-2),(5-2-0)
,185,FGCU,Atlantic Sun,,17-14,216,,262,160,---,,5-Oct,237,9-Jul,196,0-0,---,,13-6,257,8-Apr,151,,0-0,0-0,0-0,0-3,8-Feb,15-3
,,,,,(17-14-0),,,,,,,(10-5-0),,(7-9-0),,(0-0-0),,,(13-6-0),,(4-8-0),,,(0-0-0),(0-0-0),(0-0-0),(0-3-0),(2-8-0),(15-3-0)
,186,Merrimack,Metro Atlantic Athletic,,18-15,233,,282,179,247,,6-Aug,269,8-Sep,205,1-Jan,220,,15-7,278,8-Mar,144,,0-1,0-1,0-2,0-3,1-Jan,17-9
,,,,,(16-15-2),,,,,,,(8-6-0),,(8-8-1),,(0-1-1),,,(13-7-2),,(3-8-0),,,(0-1-0),(0-1-0),(0-2-0),(0-3-0),(1-1-0),(15-9-2)
,187,Montana,Big Sky,,22-9,204,,243,97,222,,13-1,238,8-Jul,175,Feb-00,196,,18-3,242,6-Apr,126,,0-1,0-1,0-2,0-2,3-Jun,16-2
,,,,,(22-8-1),,,,,,,(13-1-0),,(7-7-1),,(2-0-0),,,(18-2-1),,(4-6-0),,,(0-1-0),(0-1-0),(0-2-0),(0-2-0),(6-3-0),(16-1-1)
,188,Youngstown_St,Horizon League,,19-13,218,,239,195,95,,5-Aug,220,6-Sep,221,2-Feb,199,,15-8,211,5-Apr,235,,0-0,0-1,0-1,0-1,6-Jul,5-Dec
,,,,,(19-12-1),,,,,,,(8-5-0),,(9-5-1),,(2-2-0),,,(15-8-0),,(4-4-1),,,(0-0-0),(0-1-0),(0-1-0),(0-0-1),(7-6-0),(12-5-0)
,189,Elon,Colonial Athletic,,15-15,207,,206,212,142,,4-Aug,200,9-Jun,210,2-Jan,217,,11-Aug,211,4-Jul,199,,0-0,0-1,0-1,Jan-00,4-Jul,10-Jul
,,,,,(15-14-1),,,,,,,(8-4-0),,(6-8-1),,(1-2-0),,,(8-10-1),,(7-4-0),,,(0-0-0),(0-1-0),(0-1-0),(1-0-0),(7-3-1),(7-10-0)
,190,Indiana_St,Missouri Valley,,18-Dec,167,,211,139,126,,6-Jun,169,9-Apr,159,3-Feb,183,,13-Aug,143,5-Apr,221,,0-0,0-1,0-1,0-3,11-Jul,3-May
,,,,,(12-15-3),,,,,,,(6-5-1),,(4-7-2),,(2-3-0),,,(8-10-3),,(4-5-0),,,(0-0-0),(0-1-0),(0-1-0),(0-2-1),(7-9-2),(5-3-0)
,191,E_Kentucky,Atlantic Sun,,16-14,215,,243,168,285,,3-Aug,248,9-Jul,194,2-Jan,204,,7-Dec,245,7-Apr,163,,0-2,0-0,0-2,0-1,4-Jun,7-Oct
,,,,,(14-13-3),,,,,,,(7-3-1),,(6-8-2),,(1-2-0),,,(10-6-3),,(4-7-0),,,(0-2-0),(0-0-0),(0-2-0),(0-1-0),(6-4-0),(8-6-3)
,192,PFW,Horizon League,,16-13,203,,239,157,211,,2-Oct,230,10-May,184,1-Jan,184,,9-Dec,215,4-Apr,170,,0-1,0-0,0-1,0-2,7-Jun,3-Oct
,,,,,(15-12-2),,,,,,,(10-2-0),,(4-9-2),,(1-1-0),,,(11-8-2),,(4-4-0),,,(0-1-0),(0-0-0),(0-1-0),(0-2-0),(6-7-0),(9-2-2)
,193,Fordham,Atlantic 10,,21-Nov,143,,211,106,149,,8-Jul,175,10-Feb,119,3-Feb,105,,16-Apr,112,5-Jul,195,,0-1,0-1,0-2,0-6,11-Jun,2-May
,,,,,(11-20-1),,,,,,,(7-7-1),,(2-10-0),,(2-3-0),,,(4-15-1),,(7-5-0),,,(0-1-0),(0-1-0),(0-2-0),(0-6-0),(6-10-1),(5-2-0)
,194,Central_Conn,Northeast,,23-7,287,,303,233,---,,3-Nov,317,3-Dec,265,0-1,196,,16-3,330,4-Jul,212,,0-0,0-0,0-0,1-Jan,2-Jan,21-4
,,,,,(23-7-0),,,,,,,(11-3-0),,(12-3-0),,(0-1-0),,,(16-3-0),,(7-4-0),,,(0-0-0),(0-0-0),(0-0-0),(1-1-0),(1-2-0),(21-4-0)
,195,Missouri_St,Missouri Valley,,23-Jul,152,,196,140,143,,8-May,160,12-Jan,151,3-Jan,126,,19-Feb,146,4-May,166,,0-0,0-0,0-0,0-3,19-Mar,1-Apr
,,,,,(6-19-5),,,,,,,(4-7-2),,(1-10-2),,(1-2-1),,,(2-16-3),,(4-3-2),,,(0-0-0),(0-0-0),(0-0-0),(0-1-2),(3-17-2),(3-1-1)
,196,Northeastern,Colonial Athletic,,17-15,210,,241,175,---,,5-Aug,218,8-Jul,199,2-Feb,225,,10-Sep,208,5-Aug,213,,0-0,0-1,0-1,0-0,7-Apr,13-7
,,,,,(17-15-0),,,,,,,(8-5-0),,(7-8-0),,(2-2-0),,,(9-10-0),,(8-5-0),,,(0-0-0),(0-1-0),(0-1-0),(0-0-0),(4-7-0),(13-7-0)
,197,TAM_C._Christi,Southland,,15-14,233,,292,169,---,,2-Nov,269,11-Mar,193,1-Jan,272,,9-Dec,253,5-Mar,179,,0-2,0-1,0-3,0-2,0-3,15-6
,,,,,(15-14-0),,,,,,,(11-2-0),,(3-11-0),,(1-1-0),,,(12-9-0),,(3-5-0),,,(0-2-0),(0-1-0),(0-3-0),(0-2-0),(0-3-0),(15-6-0)
,198,Radford,Big South,,18-13,213,,272,138,199,,3-Aug,238,9-Jul,192,1-Mar,230,,8-Oct,235,5-Aug,183,,0-1,0-1,0-2,0-3,4-Mar,15-4
,,,,,(17-13-1),,,,,,,(7-3-1),,(7-9-0),,(3-1-0),,,(10-8-0),,(7-5-1),,,(0-1-0),(0-1-0),(0-2-0),(0-3-0),(2-4-1),(15-4-0)
,199,Bucknell,Patriot League,,18-15,243,,289,151,272,,4-Dec,271,10-Jun,215,0-1,235,,14-6,286,9-Apr,177,,0-3,0-0,0-3,0-1,0-2,18-9
,,,,,(15-10-8),,,,,,,(10-3-3),,(5-6-5),,(0-1-0),,,(13-3-4),,(2-7-4),,,(0-3-0),(0-0-0),(0-3-0),(0-1-0),(0-1-1),(15-5-7)
,200,Lamar,Southland,,15-13,217,,256,172,---,,4-Jun,248,6-Aug,205,3-Jan,186,,13-7,236,6-Feb,171,,0-1,0-1,0-2,0-3,2-Feb,13-6
,,,,,(15-13-0),,,,,,,(6-4-0),,(8-6-0),,(1-3-0),,,(13-7-0),,(2-6-0),,,(0-1-0),(0-1-0),(0-2-0),(0-3-0),(2-2-0),(13-6-0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,201,Jacksonville,Atlantic Sun,,17-13,207,,253,136,279,,3-Sep,228,9-Jul,185,1-Jan,257,,13-7,242,6-Apr,137,,0-1,0-1,0-2,0-1,7-Jun,3-Nov
,,,,,(17-12-1),,,,,,,(9-3-0),,(7-9-0),,(1-0-1),,,(13-7-0),,(4-5-1),,,(0-1-0),(0-1-0),(0-2-0),(0-1-0),(6-7-0),(11-2-1)
,202,Norfolk State,Mid-Eastern,,21-10,257,,299,159,270,,1-Sep,300,9-Aug,224,Apr-00,288,,14-3,320,7-Jul,180,,0-1,0-1,0-2,0-2,Feb-00,19-6
,,,,,(20-9-2),,,,,,,(8-1-1),,(8-8-1),,(4-0-0),,,(13-2-2),,(7-7-0),,,(0-1-0),(0-1-0),(0-2-0),(0-2-0),(2-0-0),(18-5-2)
,203,Princeton,Ivy League,,17-11,201,,222,168,---,,4-Jul,214,4-Jul,211,3-Mar,157,,7-Aug,234,4-Sep,162,,0-0,0-0,0-0,1-Feb,6-Apr,4-Nov
,,,,,(17-11-0),,,,,,,(7-4-0),,(7-4-0),,(3-3-0),,,(8-7-0),,(9-4-0),,,(0-0-0),(0-0-0),(0-0-0),(2-1-0),(4-6-0),(11-4-0)
,204,Richmond,Atlantic 10,,22-Aug,139,,192,119,121,,9-May,149,11-Feb,117,2-Jan,188,,14-May,104,8-Mar,199,,0-1,0-2,0-3,0-5,11-May,3-Mar
,,,,,(8-18-4),,,,,,,(5-7-2),,(2-9-2),,(1-2-0),,,(5-11-3),,(3-7-1),,,(0-1-0),(0-2-0),(0-3-0),(0-3-2),(5-9-2),(3-3-0)
,205,Wright_St,Horizon League,,13-18,205,,235,185,171,,4-Sep,224,12-Mar,198,2-Jan,161,,13-Sep,216,5-Apr,179,,0-1,0-0,0-1,0-0,12-May,5-Aug
,,,,,(13-16-2),,,,,,,(9-3-1),,(3-11-1),,(1-2-0),,,(9-11-2),,(4-5-0),,,(0-1-0),(0-0-0),(0-1-0),(0-0-0),(5-10-2),(8-5-0)
,206,Fresno_St,Mountain West,,26-Jun,132,,281,82,163,,9-May,151,14-Jan,118,0-3,111,,19-Feb,100,7-Apr,192,,0-1,0-6,0-7,0-10,7-Jan,2-May
,,,,,(6-21-5),,,,,,,(5-7-2),,(1-12-2),,(0-2-1),,,(2-15-4),,(4-6-1),,,(0-1-0),(0-6-0),(0-7-0),(0-9-1),(1-4-3),(5-1-1)
,207,Appalachian_St,Sun Belt,,15-14,210,,245,171,253,,4-Aug,224,8-May,198,2-Feb,206,,9-Oct,238,5-May,156,,0-1,0-0,0-1,0-2,6-Mar,5-Dec
,,,,,(14-14-1),,,,,,,(7-4-1),,(5-8-0),,(2-2-0),,,(9-9-1),,(5-5-0),,,(0-1-0),(0-0-0),(0-1-0),(0-2-0),(3-6-0),(11-5-1)
,208,Texas_St,Sun Belt,,14-16,208,,246,180,204,,4-Aug,218,10-Apr,206,2-Feb,188,,10-Sep,217,6-May,192,,0-0,0-0,0-0,0-3,5-May,8-Sep
,,,,,(11-14-5),,,,,,,(5-4-3),,(4-8-2),,(2-2-0),,,(6-8-5),,(5-6-0),,,(0-0-0),(0-0-0),(0-0-0),(0-3-0),(3-4-3),(8-7-2)
,209,Delaware,Colonial Athletic,,14-20,198,,235,172,---,,7-Jun,204,11-Mar,191,2-May,199,,14-Sep,199,6-May,195,,0-1,0-0,0-1,0-0,12-Apr,7-Oct
,,,,,(14-20-0),,,,,,,(6-7-0),,(3-11-0),,(5-2-0),,,(9-14-0),,(5-6-0),,,(0-1-0),(0-0-0),(0-1-0),(0-0-0),(4-12-0),(10-7-0)
,210,Sam_Houston_St,Conference USA,,19-Oct,157,,206,120,188,,4-Jun,171,13-Mar,139,2-Jan,205,,13-Jun,157,6-Apr,157,,0-0,0-2,0-2,0-4,11-Jun,2-Apr
,,,,,(10-16-3),,,,,,,(6-4-0),,(3-10-3),,(1-2-0),,,(6-10-3),,(4-6-0),,,(0-0-0),(0-2-0),(0-2-0),(0-4-0),(6-9-2),(4-1-1)
,211,S_Carolina_St,Mid-Eastern,,17-13,267,,330,182,271,,2-Aug,301,10-Jul,243,1-Feb,288,,13-4,317,9-Apr,201,,0-0,0-2,0-2,0-1,0-3,17-7
,,,,,(16-12-2),,,,,,,(8-2-0),,(6-9-2),,(2-1-0),,,(12-3-2),,(4-9-0),,,(0-0-0),(0-2-0),(0-2-0),(0-1-0),(0-3-0),(16-6-2)
,212,SE_Missouri_St,Ohio Valley,,18-12,253,,285,206,285,,3-Sep,271,7-Aug,242,2-Jan,238,,16-6,285,6-Feb,165,,0-0,0-0,0-0,0-1,0-4,18-7
,,,,,(16-12-2),,,,,,,(8-3-1),,(7-7-1),,(1-2-0),,,(15-6-1),,(1-6-1),,,(0-0-0),(0-0-0),(0-0-0),(0-1-0),(0-4-0),(16-7-2)
,213,Nicholls_St,Southland,,15-13,211,,260,145,261,,4-Jul,225,8-Jul,196,1-Jan,243,,8-Dec,244,5-Mar,127,,0-1,0-2,0-3,1-Jan,6-Feb,3-Dec
,,,,,(14-12-2),,,,,,,(7-4-0),,(7-7-1),,(0-1-1),,,(11-7-2),,(3-5-0),,,(0-1-0),(0-2-0),(0-3-0),(1-1-0),(2-6-0),(11-2-2)
,214,Longwood,Big South,,15-14,229,,263,193,---,,4-Sep,260,7-May,238,3-Jan,105,,10-Jul,235,4-Aug,221,,0-0,0-1,0-1,2-Jan,5-Mar,6-Nov
,,,,,(15-14-0),,,,,,,(9-4-0),,(5-7-0),,(1-3-0),,,(7-10-0),,(8-4-0),,,(0-0-0),(0-1-0),(0-1-0),(1-2-0),(3-5-0),(11-6-0)
,215,Tulsa,American Athletic,,20-Nov,166,,221,131,177,,9-Jun,194,9-Mar,123,2-Feb,191,,13-Jul,130,7-Apr,231,,0-0,0-1,0-1,0-7,9-Jun,3-May
,,,,,(11-18-2),,,,,,,(6-8-1),,(3-8-1),,(2-2-0),,,(7-12-1),,(4-6-1),,,(0-0-0),(0-1-0),(0-1-0),(0-7-0),(6-7-2),(5-3-0)
,216,Hampton,Colonial Athletic,,14-16,198,,239,157,316,,4-Jul,229,9-Apr,193,3-Mar,151,,11-Sep,201,5-May,191,,0-0,0-1,0-1,0-1,9-May,5-Sep
,,,,,(13-16-1),,,,,,,(7-4-0),,(4-9-0),,(2-3-1),,,(9-11-0),,(4-5-1),,,(0-0-0),(0-1-0),(0-1-0),(0-1-0),(5-9-0),(8-5-1)
,217,Charlotte,American Athletic,,22-Oct,161,,232,139,125,,8-Jul,182,12-Jan,145,2-Feb,136,,16-Apr,133,6-Jun,208,,0-0,0-1,0-1,0-3,15-May,3-May
,,,,,(8-21-3),,,,,,,(6-8-1),,(1-11-1),,(1-2-1),,,(3-15-2),,(5-6-1),,,(0-0-0),(0-1-0),(0-1-0),(0-3-0),(3-14-3),(5-3-0)
,218,N_Kentucky,Horizon League,,15-16,198,,253,151,166,,6-Oct,216,10-May,178,0-0,---,,10-Dec,217,6-Mar,152,,0-1,0-1,0-2,0-1,10-May,3-Oct
,,,,,(14-15-2),,,,,,,(9-6-1),,(5-9-1),,(0-0-0),,,(11-9-2),,(3-6-0),,,(0-1-0),(0-1-0),(0-2-0),(0-1-0),(4-9-2),(10-3-0)
,219,Quinnipiac,Metro Atlantic Athletic,,19-13,247,,266,222,220,,3-Nov,268,10-Jul,226,Jan-00,294,,16-6,267,7-Mar,202,,0-1,0-0,0-1,0-0,4-Jan,18-8
,,,,,(18-13-1),,,,,,,(10-3-1),,(7-10-0),,(1-0-0),,,(16-6-0),,(2-7-1),,,(0-1-0),(0-0-0),(0-1-0),(0-0-0),(1-4-0),(17-8-1)
,220,Hofstra,Colonial Athletic,,13-18,197,,202,195,191,,7-Apr,212,9-May,182,2-Apr,205,,13-Jul,220,5-Jun,156,,0-1,0-0,0-1,1-Jan,5-Jun,11-Jun
,,,,,(11-16-4),,,,,,,(4-6-1),,(4-8-2),,(3-2-1),,,(7-12-1),,(4-4-3),,,(0-1-0),(0-0-0),(0-1-0),(1-1-0),(4-5-2),(6-9-2)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,221,Monmouth_NJ,Colonial Athletic,,13-20,196,,233,176,156,,2-Aug,201,14-Apr,195,4-Jan,188,,9-Nov,203,11-Feb,184,,0-2,0-0,0-2,0-1,9-May,8-Aug
,,,,,(12-19-2),,,,,,,(7-2-1),,(4-14-0),,(1-3-1),,,(10-8-2),,(2-11-0),,,(0-2-0),(0-0-0),(0-2-0),(0-1-0),(4-8-2),(8-8-0)
,222,Portland_St,Big Sky,,16-13,229,,249,210,187,,1-Oct,251,10-May,222,2-Jan,186,,8-Nov,243,5-May,203,,0-0,0-0,0-0,0-0,7-Apr,6-Dec
,,,,,(15-13-1),,,,,,,(9-1-1),,(5-10-0),,(1-2-0),,,(10-8-1),,(5-5-0),,,(0-0-0),(0-0-0),(0-0-0),(0-0-0),(3-7-1),(12-6-0)
,223,Ark_Little_Rock,Ohio Valley,,17-14,254,,292,203,242,,5-Jul,286,7-Sep,227,2-Jan,274,,13-9,286,5-Apr,178,,0-1,0-1,0-2,0-1,2-Jan,16-9
,,,,,(17-12-2),,,,,,,(7-3-2),,(9-7-0),,(1-2-0),,,(13-8-1),,(4-4-1),,,(0-1-0),(0-1-0),(0-2-0),(0-1-0),(1-1-1),(16-8-1)
,224,Evansville,Missouri Valley,,21-Oct,156,,183,144,---,,9-Jun,167,11-Apr,148,0-1,123,,13-Aug,144,8-Feb,182,,0-0,0-1,0-1,0-3,15-Aug,2-Feb
,,,,,(10-21-0),,,,,,,(6-9-0),,(4-11-0),,(0-1-0),,,(8-13-0),,(2-8-0),,,(0-0-0),(0-1-0),(0-1-0),(0-3-0),(8-15-0),(2-2-0)
,225,William_&_Mary,Colonial Athletic,,15-15,201,,221,180,---,,2-Oct,204,11-Apr,186,2-Jan,264,,8-Nov,200,7-Apr,203,,0-0,0-1,0-1,0-0,8-Apr,6-Nov
,,,,,(15-15-0),,,,,,,(10-2-0),,(4-11-0),,(1-2-0),,,(11-8-0),,(4-7-0),,,(0-0-0),(0-1-0),(0-1-0),(0-0-0),(4-8-0),(11-6-0)
,226,Missouri_KC,Summit,,20-Sep,202,,248,180,---,,5-Jun,216,12-Feb,175,3-Jan,254,,13-May,213,7-Apr,183,,0-1,0-1,0-2,0-0,10-Feb,8-Jul
,,,,,(9-20-0),,,,,,,(6-5-0),,(2-12-0),,(1-3-0),,,(5-13-0),,(4-7-0),,,(0-1-0),(0-1-0),(0-2-0),(0-0-0),(2-10-0),(7-8-0)
,227,C_Michigan,Mid-American,,17-Oct,202,,247,165,350,,6-May,250,10-May,178,0-1,35,,11-Jul,244,6-Mar,119,,0-2,0-1,0-3,1-Jan,7-Jan,6-Aug
,,,,,(10-16-1),,,,,,,(5-5-1),,(5-10-0),,(0-1-0),,,(7-10-1),,(3-6-0),,,(0-2-0),(0-1-0),(0-3-0),(1-1-0),(1-7-0),(8-5-1)
,228,Toledo,Mid-American,,17-15,199,,249,147,178,,4-Aug,226,10-Jun,184,1-Mar,177,,9-Nov,224,6-Jun,157,,0-2,0-0,0-2,0-1,9-Jun,3-Nov
,,,,,(16-15-1),,,,,,,(8-4-0),,(6-10-0),,(2-1-1),,,(10-9-1),,(6-6-0),,,(0-2-0),(0-0-0),(0-2-0),(0-1-0),(5-9-1),(11-3-0)
,229,Maine,America East,,18-14,259,,290,222,257,,3-Aug,288,11-Aug,246,Feb-00,221,,7-Dec,276,7-Jun,234,,0-1,0-0,0-1,0-0,4-Feb,16-9
,,,,,(17-14-1),,,,,,,(8-3-0),,(7-11-1),,(2-0-0),,,(11-7-1),,(6-7-0),,,(0-1-0),(0-0-0),(0-1-0),(0-0-0),(2-4-0),(15-9-1)
,230,Queens_NC,Atlantic Sun,,17-14,224,,280,150,265,,5-Jul,249,9-Sep,201,Jan-00,345,,8-Dec,236,6-May,203,,0-1,0-1,0-2,0-1,7-Apr,13-4
,,,,,(16-13-2),,,,,,,(7-5-0),,(8-8-2),,(1-0-0),,,(11-7-2),,(5-6-0),,,(0-1-0),(0-1-0),(0-2-0),(0-1-0),(4-6-1),(12-4-1)
,231,Tennessee_St,Ohio Valley,,14-16,263,,307,234,221,,3-Sep,291,10-Apr,242,3-Jan,257,,13-9,288,7-Jan,197,,0-0,0-1,0-1,0-0,0-4,14-11
,,,,,(13-12-5),,,,,,,(8-2-2),,(4-8-2),,(1-2-1),,,(12-7-3),,(1-5-2),,,(0-0-0),(0-0-1),(0-0-1),(0-0-0),(0-4-0),(13-8-4)
,232,Campbell,Colonial Athletic,,13-17,213,,251,185,220,,6-Jun,216,10-Jul,211,0-1,209,,9-Oct,203,8-Mar,229,,0-0,0-2,0-2,0-1,7-Feb,7-Nov
,,,,,(12-17-1),,,,,,,(6-6-0),,(6-10-1),,(0-1-0),,,(9-9-1),,(3-8-0),,,(0-0-0),(0-2-0),(0-2-0),(0-1-0),(2-7-0),(10-7-1)
,233,Iona,Metro Atlantic Athletic,,17-17,249,,279,222,214,,7-Jul,258,7-Aug,246,3-Feb,230,,14-9,269,8-Mar,206,,0-0,0-1,0-1,0-0,0-4,17-12
,,,,,(16-16-2),,,,,,,(7-6-1),,(7-7-1),,(2-3-0),,,(13-8-2),,(3-8-0),,,(0-0-0),(0-1-0),(0-1-0),(0-0-0),(0-3-1),(16-12-1)
,234,UT_Arlington,Western Athletic,,18-Nov,198,,272,162,177,,4-Jul,219,11-Mar,191,3-Jan,161,,11-Jun,205,7-May,188,,0-0,0-0,0-0,0-6,8-Feb,4-Sep
,,,,,(9-17-3),,,,,,,(6-3-2),,(2-11-1),,(1-3-0),,,(4-10-3),,(5-7-0),,,(0-0-0),(0-0-0),(0-0-0),(0-6-0),(1-7-2),(8-4-1)
,235,Siena,Metro Atlantic Athletic,,14-18,245,,263,236,229,,5-Sep,267,10-Apr,233,3-Jan,213,,12-Sep,272,6-May,194,,0-0,0-1,0-1,0-0,3-Mar,14-Nov
,,,,,(11-18-3),,,,,,,(7-5-2),,(3-10-1),,(1-3-0),,,(8-12-1),,(3-6-2),,,(0-0-0),(0-1-0),(0-1-0),(0-0-0),(2-3-1),(9-14-2)
,236,Colgate,Patriot League,,13-19,241,,274,214,300,,4-Sep,271,13-Apr,222,0-2,208,,9-Nov,283,10-Feb,172,,0-1,0-0,0-1,0-1,5-Feb,12-Nov
,,,,,(13-18-1),,,,,,,(9-4-0),,(4-12-1),,(0-2-0),,,(11-8-1),,(2-10-0),,,(0-1-0),(0-0-0),(0-1-0),(0-1-0),(2-5-0),(11-11-1)
,237,SE_Louisiana,Southland,,14-14,234,,277,189,249,,4-May,240,8-Aug,224,2-Jan,267,,9-Oct,248,5-Apr,204,,0-0,0-1,0-1,0-3,3-Feb,7-Dec
,,,,,(13-13-2),,,,,,,(4-4-1),,(8-8-0),,(1-1-1),,,(9-8-2),,(4-5-0),,,(0-0-0),(0-1-0),(0-1-0),(0-3-0),(2-3-0),(11-6-2)
,238,Idaho_St,Big Sky,,15-Dec,221,,264,191,134,,4-Jul,238,10-May,211,0-1,182,,9-Oct,237,6-Feb,183,,0-0,0-1,0-1,0-2,6-Feb,6-Oct
,,,,,(12-14-1),,,,,,,(7-4-0),,(5-9-1),,(0-1-0),,,(10-8-1),,(2-6-0),,,(0-0-0),(0-1-0),(0-1-0),(0-2-0),(2-5-1),(10-6-0)
,239,Hawaii,Big West,,13-16,180,,237,135,226,,7-Nov,180,9-Feb,181,0-0,---,,13-Jul,189,3-Jun,160,,0-0,0-1,0-1,0-6,6-May,3-Aug
,,,,,(11-16-2),,,,,,,(9-7-2),,(2-9-0),,(0-0-0),,,(7-13-0),,(4-3-2),,,(0-0-0),(0-1-0),(0-1-0),(0-6-0),(4-6-1),(7-3-1)
,240,CS_Bakersfield,Big West,,19-Dec,191,,241,152,272,,6-Jul,189,11-Apr,191,2-Jan,201,,13-Aug,187,6-Apr,201,,0-0,0-0,0-0,0-5,10-Mar,4-Sep
,,,,,(11-18-2),,,,,,,(7-6-0),,(3-11-1),,(1-1-1),,,(7-13-1),,(4-5-1),,,(0-0-0),(0-0-0),(0-0-0),(0-5-0),(3-10-0),(8-3-2)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
