Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,30,UCLA,Big Ten,,22-10,101,,131,36,---,,15-3,149,5-May,48,2-Feb,21,,13-8,48,2-Sep,203,,5-Apr,2-May,7-Sep,3-Apr,Feb-00,Jul-00
,,,,,(22-10-0),,,,,,,(15-3-0),,(5-5-0),,(2-2-0),,,(13-8-0),,(9-2-0),,,(4-5-0),(5-2-0),(9-7-0),(4-3-0),(2-0-0),(7-0-0)
,31,Texas_A&M,Southeastern,,21-10,68,,85,31,50,,3-Dec,98,5-May,43,2-Apr,35,,8-Nov,40,2-Oct,111,,4-Apr,4-Jun,8-Oct,2-Jul,Jan-00,Mar-00
,,,,,(21-9-1),,,,,,,(12-3-0),,(5-5-0),,(4-1-1),,,(11-7-1),,(10-2-0),,,(4-4-0),(6-3-1),(10-7-1),(7-2-0),(1-0-0),(3-0-0)
,32,Xavier,Big East,,21-11,96,,130,34,17,,15-2,134,7-May,55,2-Jan,39,,13-8,54,3-Aug,176,,5-Jan,4-Mar,9-Apr,2-Sep,Feb-00,Jun-00
,,,,,(21-9-2),,,,,,,(15-2-0),,(5-5-2),,(1-2-0),,,(13-6-2),,(8-3-0),,,(1-4-1),(3-3-1),(4-7-2),(9-2-0),(2-0-0),(6-0-0)
,33,Mississippi,Southeastern,,22-11,91,,130,21,28,,13-3,137,7-May,32,1-Apr,81,,9-Nov,35,2-Nov,177,,6-May,4-May,10-Oct,1-Apr,Jan-00,Jul-00
,,,,,(21-10-2),,,,,,,(13-3-0),,(5-6-1),,(3-1-1),,,(11-8-1),,(10-2-1),,,(4-6-1),(5-3-1),(9-9-2),(4-1-0),(1-0-0),(7-0-0)
,34,VCU,Atlantic 10,,27-6,140,,152,78,136,,15-1,181,3-Jul,103,2-May,102,,18-3,116,3-Sep,184,,0-0,1-Jan,1-Jan,2-Jun,13-3,Jul-00
,,,,,(27-5-1),,,,,,,(15-1-0),,(7-3-0),,(5-1-1),,,(18-3-0),,(9-2-1),,,(0-0-0),(1-1-0),(1-1-0),(6-2-0),(13-2-1),(7-0-0)
,35,Mississippi_St,Southeastern,,21-12,88,,131,23,53,,5-Oct,123,5-Jun,37,2-May,92,,11-Sep,37,1-Dec,165,,0-8,2-Jun,10-Jun,2-Sep,0-0,Jun-00
,,,,,(19-11-3),,,,,,,(9-4-2),,(5-5-1),,(5-2-0),,,(7-10-3),,(12-1-0),,,(0-8-0),(5-1-2),(5-9-2),(8-2-1),(0-0-0),(6-0-0)
,36,Villanova,Big East,,19-14,105,,136,62,---,,14-3,143,8-Mar,57,3-Feb,79,,10-Dec,58,4-Jul,199,,3-Feb,5-Mar,8-May,5-May,Apr-00,1-May
,,,,,(19-14-0),,,,,,,(14-3-0),,(3-8-0),,(2-3-0),,,(12-10-0),,(7-4-0),,,(2-3-0),(3-5-0),(5-8-0),(5-5-0),(4-0-0),(5-1-0)
,37,Georgia,Southeastern,,20-12,100,,147,21,---,,15-3,150,7-Mar,33,2-Feb,44,,11-Aug,35,1-Dec,195,,7-Mar,4-Jan,11-Apr,1-Aug,0-0,Aug-00
,,,,,(20-12-0),,,,,,,(15-3-0),,(3-7-0),,(2-2-0),,,(8-11-0),,(12-1-0),,,(3-7-0),(1-4-0),(4-11-0),(8-1-0),(0-0-0),(8-0-0)
,38,Arkansas,Southeastern,,20-13,92,,136,31,50,,14-4,132,6-Apr,48,3-Feb,37,,11-Sep,39,2-Nov,173,,6-Mar,4-Apr,10-Jul,3-Mar,May-00,May-00
,,,,,(19-13-1),,,,,,,(13-4-1),,(4-6-0),,(2-3-0),,,(8-11-1),,(11-2-0),,,(3-6-0),(3-4-1),(6-10-1),(3-3-0),(5-0-0),(5-0-0)
,39,Ohio_St,Big Ten,,17-15,77,,121,31,58,,6-Nov,111,7-Apr,39,2-Feb,37,,12-Sep,46,3-Aug,136,,6-Mar,6-Jan,12-Apr,3-Jun,Apr-00,Mar-00
,,,,,(15-13-4),,,,,,,(10-4-3),,(3-7-1),,(2-2-0),,,(7-11-3),,(8-2-1),,,(3-6-0),(1-5-1),(4-11-1),(4-2-3),(4-0-0),(3-0-0)
,40,Oregon,Big Ten,,24-9,78,,92,31,124,,4-Dec,110,5-Jul,50,May-00,45,,13-9,47,Nov-00,142,,5-Mar,2-May,7-Aug,2-Aug,May-00,Mar-00
,,,,,(21-9-3),,,,,,,(11-4-1),,(5-5-2),,(5-0-0),,,(11-9-2),,(10-0-1),,,(2-5-1),(5-2-0),(7-7-1),(8-2-0),(4-0-1),(2-0-1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
