Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,,,,,(26-7-1),,,,,,,(15-3-0),,(9-2-0),,(2-2-1),,,(20-3-0),,(6-4-1),,,(2-4-0),(1-2-1),(3-6-1),(10-0-0),(11-1-0),(2-0-0)
,26,Michigan,Big Ten,,25-9,71,,84,29,75,,14-3,93,3-Jul,46,3-Apr,53,,17-6,43,3-Aug,129,,5-May,2-Apr,7-Sep,2-Sep,Jun-00,Jan-00
,,,,,(24-8-2),,,,,,,(13-3-1),,(7-2-1),,(4-3-0),,,(16-5-2),,(8-3-0),,,(5-5-0),(4-2-0),(9-7-0),(8-1-2),(6-0-0),(1-0-0)
,27,Mississippi,Southeastern,,22-11,87,,125,19,28,,13-3,129,7-May,32,1-Apr,84,,9-Nov,33,2-Nov,170,,7-May,3-Jun,10-Nov,1-Mar,Jan-00,Jul-00
,,,,,(21-10-2),,,,,,,(13-3-0),,(5-6-1),,(3-1-1),,,(11-8-1),,(10-2-1),,,(4-7-1),(6-2-1),(10-9-2),(3-1-0),(1-0-0),(7-0-0)
,28,Connecticut,Big East,,22-10,102,,127,41,100,,13-2,143,5-Jul,73,3-Feb,48,,15-7,76,3-Jul,158,,2-Mar,5-Jun,7-Sep,2-Jun,Feb-00,1-May
,,,,,(20-8-4),,,,,,,(11-2-2),,(7-4-1),,(2-2-1),,,(13-6-3),,(7-2-1),,,(3-2-0),(5-4-2),(8-6-2),(5-2-1),(2-0-0),(5-0-1)
,29,VCU,Atlantic 10,,27-6,158,,169,78,241,,15-1,194,3-Jul,116,2-May,135,,18-3,135,3-Sep,198,,0-0,1-Jan,1-Jan,2-Apr,2-Dec,1-Oct
,,,,,(27-5-1),,,,,,,(15-1-0),,(7-3-0),,(5-1-1),,,(18-3-0),,(9-2-1),,,(0-0-0),(1-1-0),(1-1-0),(4-2-0),(12-2-0),(10-0-1)
,30,UCLA,Big Ten,,22-10,103,,132,38,---,,15-3,149,5-May,52,2-Feb,20,,13-8,51,2-Sep,201,,4-Apr,3-Mar,7-Jul,3-Jun,Feb-00,Jul-00
,,,,,(22-10-0),,,,,,,(15-3-0),,(5-5-0),,(2-2-0),,,(13-8-0),,(9-2-0),,,(4-4-0),(3-3-0),(7-7-0),(6-3-0),(2-0-0),(7-0-0)
,31,New_Mexico,Mountain West,,25-7,132,,150,67,113,,15-2,147,4-Jul,125,1-Mar,90,,18-4,135,3-Jul,126,,0-1,3-Aug,4-Aug,1-May,2-Apr,Aug-00
,,,,,(24-6-2),,,,,,,(14-1-2),,(7-4-0),,(3-1-0),,,(17-4-1),,(7-2-1),,,(0-1-0),(8-3-0),(8-4-0),(4-1-1),(4-1-1),(8-0-0)
,32,UC_San_Diego,Big West,,28-4,201,,216,96,---,,2-Dec,214,2-Dec,199,Apr-00,157,,20-2,204,2-Aug,193,,0-0,1-Jan,1-Jan,1-Feb,2-Sep,16-0
,,,,,(28-4-0),,,,,,,(12-2-0),,(12-2-0),,(4-0-0),,,(20-2-0),,(8-2-0),,,(0-0-0),(1-1-0),(1-1-0),(2-1-0),(9-2-0),(16-0-0)
,33,North_Carolina,Atlantic Coast,,22-13,91,,128,24,102,,3-Dec,125,7-Jun,79,3-Apr,40,,15-8,83,5-Jul,105,,0-10,Jan-00,10-Jan,3-Jul,Oct-00,Apr-00
,,,,,(21-12-2),,,,,,,(11-3-1),,(6-7-0),,(4-2-1),,,(14-8-1),,(7-4-1),,,(0-9-1),(1-0-0),(1-9-1),(7-3-0),(9-0-1),(4-0-0)
,34,Baylor,Big 12,,18-14,74,,128,24,37,,3-Dec,120,9-Mar,38,2-Mar,25,,10-Nov,45,4-Jul,130,,10-Feb,1-Feb,11-Apr,3-Aug,Feb-00,Apr-00
,,,,,(15-13-4),,,,,,,(11-3-1),,(2-8-2),,(2-2-1),,,(9-9-3),,(6-4-1),,,(1-9-2),(1-1-1),(2-10-3),(7-3-1),(2-0-0),(4-0-0)
,35,Mississippi_St,Southeastern,,21-12,85,,128,22,50,,5-Oct,119,5-Jun,35,2-May,93,,11-Sep,35,1-Dec,163,,8-Jan,3-Apr,11-May,1-Oct,0-0,Jun-00
,,,,,(19-11-3),,,,,,,(9-4-2),,(5-5-1),,(5-2-0),,,(7-10-3),,(12-1-0),,,(1-8-0),(3-2-2),(4-10-2),(9-1-1),(0-0-0),(6-0-0)
,36,Creighton,Big East,,24-10,94,,118,33,135,,16-2,116,5-Jun,72,3-Feb,60,,17-6,76,4-Jul,130,,5-Mar,3-May,8-Aug,2-Jul,Mar-00,Jun-00
