Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,,,,,(14-13-4),,,,,,,(8-6-2),,(3-6-2),,(3-1-0),,,(9-8-3),,(5-5-1),,,(0-0-0),(0-1-0),(0-1-0),(1-4-1),(6-6-2),(7-2-1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,181,Loy_Marymount,West Coast,,16-15,157,,208,102,---,,6-Oct,161,8-Mar,139,1-Mar,188,,11-Sep,156,4-Jul,158,,0-4,0-1,0-5,4-Mar,3-Mar,3-Oct
,,,,,(16-15-0),,,,,,,(10-6-0),,(3-8-0),,(3-1-0),,,(9-11-0),,(7-4-0),,,(0-4-0),(0-1-0),(0-5-0),(3-4-0),(3-3-0),(10-3-0)
,182,Bucknell,Patriot League,,18-15,237,,280,147,269,,4-Dec,266,10-Jun,208,0-1,230,,14-6,277,9-Apr,175,,0-3,0-0,0-3,0-0,3-Jan,17-9
,,,,,(15-10-8),,,,,,,(10-3-3),,(5-6-5),,(0-1-0),,,(13-3-4),,(2-7-4),,,(0-3-0),(0-0-0),(0-3-0),(0-0-0),(1-2-1),(14-5-7)
,183,Elon,Colonial Athletic,,15-15,203,,203,206,145,,4-Aug,195,9-Jun,209,2-Jan,205,,11-Aug,210,4-Jul,190,,0-0,0-1,0-1,Feb-00,7-Jun,7-Jul
,,,,,(15-14-1),,,,,,,(8-4-0),,(6-8-1),,(1-2-0),,,(8-10-1),,(7-4-0),,,(0-0-0),(0-1-0),(0-1-0),(2-0-0),(6-6-1),(7-7-0)
,184,SE_Missouri_St,Ohio Valley,,18-12,242,,275,193,278,,3-Sep,262,7-Aug,233,2-Jan,211,,16-6,273,6-Feb,157,,0-0,0-0,0-0,0-3,0-2,18-7
,,,,,(16-12-2),,,,,,,(8-3-1),,(7-7-1),,(1-2-0),,,(15-6-1),,(1-6-1),,,(0-0-0),(0-0-0),(0-0-0),(0-3-0),(0-2-0),(16-7-2)
,185,Jacksonville,Atlantic Sun,,17-13,200,,247,127,284,,3-Sep,214,9-Jul,183,1-Jan,257,,13-7,233,6-Apr,134,,0-1,0-1,0-2,0-2,6-Jul,3-Oct
,,,,,(17-12-1),,,,,,,(9-3-0),,(7-9-0),,(1-0-1),,,(13-7-0),,(4-5-1),,,(0-1-0),(0-1-0),(0-2-0),(0-2-0),(7-6-0),(10-2-1)
,186,Youngstown_St,Horizon League,,19-13,219,,243,190,120,,5-Aug,220,6-Sep,225,2-Feb,196,,15-8,213,5-Apr,235,,0-0,0-1,0-1,0-0,7-Jul,5-Dec
,,,,,(19-12-1),,,,,,,(8-5-0),,(9-5-1),,(2-2-0),,,(15-8-0),,(4-4-1),,,(0-0-0),(0-1-0),(0-1-0),(0-0-0),(7-6-1),(12-5-0)
,187,UT_San_Antonio,American Athletic,,19-Oct,163,,197,151,102,,7-May,177,11-Apr,151,1-Jan,171,,13-Jun,156,6-Apr,176,,0-1,0-2,0-3,4-Jan,7-May,5-Apr
,,,,,(10-17-2),,,,,,,(5-7-0),,(4-9-2),,(1-1-0),,,(6-12-1),,(4-5-1),,,(0-0-1),(0-2-0),(0-2-1),(1-4-0),(5-6-1),(4-5-0)
,188,Quinnipiac,Metro Atlantic Athletic,,19-13,238,,259,213,200,,3-Nov,259,10-Jul,218,Jan-00,289,,16-6,261,7-Mar,187,,0-1,0-0,0-1,0-1,3-Mar,16-8
,,,,,(18-13-1),,,,,,,(10-3-1),,(7-10-0),,(1-0-0),,,(16-6-0),,(2-7-1),,,(0-1-0),(0-0-0),(0-1-0),(0-1-0),(2-3-1),(16-8-0)
,189,Delaware,Colonial Athletic,,14-20,193,,232,166,---,,7-Jun,197,11-Mar,191,2-May,190,,14-Sep,197,6-May,185,,0-1,0-0,0-1,3-Jan,11-Mar,5-Oct
,,,,,(14-20-0),,,,,,,(6-7-0),,(3-11-0),,(5-2-0),,,(9-14-0),,(5-6-0),,,(0-1-0),(0-0-0),(0-1-0),(1-3-0),(3-11-0),(10-5-0)
,190,Nicholls_St,Southland,,15-13,201,,249,138,245,,4-Jul,216,8-Jul,187,1-Jan,226,,8-Dec,231,5-Mar,127,,0-1,0-1,0-2,2-Jan,6-Feb,3-Dec
,,,,,(14-12-2),,,,,,,(7-4-0),,(7-7-1),,(0-1-1),,,(11-7-2),,(3-5-0),,,(0-1-0),(0-1-0),(0-2-0),(1-2-0),(2-6-0),(11-2-2)
,191,Boston_College,Atlantic Coast,,19-Dec,131,,210,81,116,,8-Sep,153,0-10,89,1-Mar,145,,16-Apr,87,3-Aug,213,,0-3,2-Jan,5-Jan,7-Jan,6-Apr,1-Jun
,,,,,(11-16-4),,,,,,,(9-7-1),,(0-8-2),,(2-1-1),,,(4-13-3),,(7-3-1),,,(0-3-0),(1-1-1),(1-4-1),(1-6-1),(4-5-1),(5-1-1)
,192,Lamar,Southland,,15-13,202,,244,154,---,,4-Jun,233,6-Aug,194,3-Jan,153,,13-7,219,6-Feb,161,,0-2,0-0,0-2,0-4,1-May,6-Oct
,,,,,(15-13-0),,,,,,,(6-4-0),,(8-6-0),,(1-3-0),,,(13-7-0),,(2-6-0),,,(0-2-0),(0-0-0),(0-2-0),(0-4-0),(5-1-0),(10-6-0)
,193,Miami_FL,Atlantic Coast,,24-Jul,118,,223,81,166,,10-Jul,154,0-10,85,0-4,52,,17-Mar,83,7-Apr,182,,0-5,0-3,0-8,7-Jan,7-Feb,2-Apr
,,,,,(7-22-2),,,,,,,(7-9-1),,(0-9-1),,(0-4-0),,,(3-16-1),,(4-6-1),,,(0-5-0),(0-3-0),(0-8-0),(1-7-0),(2-6-1),(4-1-1)
,194,Rice,American Athletic,,13-18,192,,261,139,220,,7-Jul,202,8-Apr,187,3-Feb,174,,15-Apr,159,3-Sep,243,,0-0,0-2,0-2,4-Jan,8-Jan,4-Nov
,,,,,(12-17-2),,,,,,,(6-7-1),,(4-8-0),,(2-2-1),,,(4-15-0),,(8-2-2),,,(0-0-0),(0-2-0),(0-2-0),(1-4-0),(1-7-1),(10-4-1)
,195,Appalachian_St,Sun Belt,,15-14,205,,244,165,244,,4-Aug,219,8-May,195,2-Feb,198,,9-Oct,237,5-May,146,,0-1,0-0,0-1,0-5,3-Mar,5-Dec
,,,,,(14-14-1),,,,,,,(7-4-1),,(5-8-0),,(2-2-0),,,(9-9-1),,(5-5-0),,,(0-1-0),(0-0-0),(0-1-0),(0-5-0),(3-3-0),(11-5-1)
,196,San_Jose_St,Mountain West,,13-19,148,,218,99,227,,8-Jun,145,9-Mar,128,2-Apr,194,,14-Aug,121,5-May,208,,0-0,10-Jan,10-Jan,0-5,1-Apr,3-Aug
,,,,,(11-19-2),,,,,,,(5-8-1),,(2-9-1),,(4-2-0),,,(7-14-1),,(4-5-1),,,(0-0-0),(1-10-0),(1-10-0),(0-5-0),(3-1-1),(7-3-1)
,197,Northeastern,Colonial Athletic,,17-15,211,,239,180,---,,5-Aug,218,8-Jul,200,2-Feb,231,,10-Sep,205,5-Aug,221,,0-0,0-0,0-0,0-2,6-May,7-Dec
,,,,,(17-15-0),,,,,,,(8-5-0),,(7-8-0),,(2-2-0),,,(9-10-0),,(8-5-0),,,(0-0-0),(0-0-0),(0-0-0),(0-2-0),(5-6-0),(12-7-0)
,198,Maine,America East,,18-14,255,,286,218,249,,3-Aug,279,11-Aug,246,Feb-00,216,,7-Dec,267,7-Jun,238,,0-1,0-0,0-1,0-0,4-Feb,16-9
,,,,,(17-14-1),,,,,,,(8-3-0),,(7-11-1),,(2-0-0),,,(11-7-1),,(6-7-0),,,(0-1-0),(0-0-0),(0-1-0),(0-0-0),(2-4-0),(15-9-1)
,199,S_Illinois,Missouri Valley,,19-Dec,155,,201,123,184,,8-Jun,154,7-May,159,4-Jan,147,,13-Sep,155,6-Mar,154,,0-1,0-0,0-1,0-5,10-May,3-Jul
,,,,,(11-18-2),,,,,,,(5-8-1),,(5-7-0),,(1-3-1),,,(8-13-1),,(3-5-1),,,(0-1-0),(0-0-0),(0-1-0),(0-5-0),(5-9-1),(6-3-1)
,200,Hofstra,Colonial Athletic,,13-18,201,,199,201,205,,7-Apr,214,9-May,178,2-Apr,230,,13-Jul,219,5-Jun,168,,0-1,0-0,0-1,1-Feb,6-Jun,10-May
,,,,,(11-16-4),,,,,,,(4-6-1),,(4-8-2),,(3-2-1),,,(7-12-1),,(4-4-3),,,(0-1-0),(0-0-0),(0-1-0),(2-1-0),(5-5-2),(4-9-2)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,201,Portland_St,Big Sky,,16-13,224,,248,201,153,,1-Oct,244,10-May,221,2-Jan,166,,8-Nov,233,5-May,207,,0-0,0-0,0-0,0-0,7-Apr,6-Dec
,,,,,(15-13-1),,,,,,,(9-1-1),,(5-10-0),,(1-2-0),,,(10-8-1),,(5-5-0),,,(0-0-0),(0-0-0),(0-0-0),(0-0-0),(3-7-1),(12-6-0)
,202,Massachusetts,Atlantic 10,,20-Nov,158,,207,126,216,,8-Jul,187,7-Apr,131,0-5,133,,12-Jul,137,8-Apr,192,,0-0,0-2,0-2,4-Jan,11-Apr,3-Jun
,,,,,(10-19-2),,,,,,,(7-7-1),,(3-7-1),,(0-5-0),,,(6-12-1),,(4-7-1),,,(0-0-0),(0-2-0),(0-2-0),(1-4-0),(4-10-1),(5-3-1)
,203,Valparaiso,Missouri Valley,,13-19,170,,219,139,153,,7-Aug,197,10-Mar,157,2-Feb,105,,15-Aug,154,4-May,208,,0-0,0-1,0-1,0-6,9-May,3-Aug
,,,,,(12-18-2),,,,,,,(7-7-1),,(3-9-1),,(2-2-0),,,(7-14-2),,(5-4-0),,,(0-0-0),(0-1-0),(0-1-0),(0-5-1),(5-9-0),(7-3-1)
,204,La_Salle,Atlantic 10,,13-19,149,,193,123,102,,5-Sep,182,10-Feb,110,4-Feb,148,,15-Jun,128,4-Jul,188,,0-0,0-3,0-3,5-Jan,7-Jul,4-May
,,,,,(12-19-1),,,,,,,(9-5-0),,(1-10-1),,(2-4-0),,,(5-15-1),,(7-4-0),,,(0-0-0),(0-3-0),(0-3-0),(1-5-0),(6-7-1),(5-4-0)
,205,Texas_St,Sun Belt,,14-16,209,,250,179,206,,4-Aug,221,10-Apr,205,2-Feb,190,,10-Sep,217,6-May,196,,0-0,0-0,0-0,5-Jan,4-Apr,7-Sep
,,,,,(11-14-5),,,,,,,(5-4-3),,(4-8-2),,(2-2-0),,,(6-8-5),,(5-6-0),,,(0-0-0),(0-0-0),(0-0-0),(1-5-0),(2-3-3),(8-6-2)
,206,Ark_Little_Rock,Ohio Valley,,17-14,247,,287,189,245,,5-Jul,278,7-Sep,221,2-Jan,256,,13-9,273,5-Apr,181,,0-1,0-1,0-2,0-1,4-Feb,15-7
,,,,,(17-12-2),,,,,,,(7-3-2),,(9-7-0),,(1-2-0),,,(13-8-1),,(4-4-1),,,(0-1-0),(0-1-0),(0-2-0),(0-1-0),(2-3-1),(15-6-1)
,207,SIUE,Ohio Valley,,19-11,258,,284,219,218,,3-Sep,276,8-Jul,245,Mar-00,251,,15-7,271,4-Apr,223,,0-1,0-0,0-1,0-1,2-Jan,18-7
,,,,,(18-11-1),,,,,,,(9-3-0),,(6-8-1),,(3-0-0),,,(14-7-1),,(4-4-0),,,(0-1-0),(0-0-0),(0-1-0),(0-1-0),(1-2-0),(17-7-1)
,208,Sam_Houston_St,Conference USA,,19-Oct,152,,205,111,188,,4-Jun,164,13-Mar,136,2-Jan,194,,13-Jun,151,6-Apr,152,,0-0,0-1,0-1,0-6,11-Jun,1-Apr
,,,,,(10-16-3),,,,,,,(6-4-0),,(3-10-3),,(1-2-0),,,(6-10-3),,(4-6-0),,,(0-0-0),(0-1-0),(0-1-0),(0-6-0),(6-9-2),(4-0-1)
,209,South_Florida,American Athletic,,19-Nov,162,,250,117,155,,6-Jul,194,10-Feb,134,3-Feb,149,,13-Jun,139,6-May,203,,0-1,0-3,0-4,0-3,10-May,2-Jun
,,,,,(10-19-1),,,,,,,(6-6-1),,(2-10-0),,(2-3-0),,,(5-13-1),,(5-6-0),,,(0-1-0),(0-3-0),(0-4-0),(0-3-0),(4-10-1),(6-2-0)
,210,Toledo,Mid-American,,17-15,195,,250,139,176,,4-Aug,224,10-Jun,180,1-Mar,170,,9-Nov,220,6-Jun,154,,0-2,0-1,0-3,0-4,5-Jun,3-Nov
,,,,,(16-15-1),,,,,,,(8-4-0),,(6-10-0),,(2-1-1),,,(10-9-1),,(6-6-0),,,(0-2-0),(0-1-0),(0-3-0),(0-4-0),(5-5-1),(11-3-0)
,211,Princeton,Ivy League,,17-11,200,,228,157,---,,4-Jul,216,4-Jul,204,3-Mar,165,,7-Aug,228,4-Sep,168,,0-0,0-0,0-0,3-Mar,4-Mar,4-Nov
,,,,,(17-11-0),,,,,,,(7-4-0),,(7-4-0),,(3-3-0),,,(8-7-0),,(9-4-0),,,(0-0-0),(0-0-0),(0-0-0),(3-3-0),(3-4-0),(11-4-0)
,212,Wright_St,Horizon League,,13-18,208,,245,185,159,,4-Sep,230,12-Mar,197,2-Jan,169,,13-Sep,219,5-Apr,182,,0-1,0-0,0-1,0-1,10-May,6-Aug
,,,,,(13-16-2),,,,,,,(9-3-1),,(3-11-1),,(1-2-0),,,(9-11-2),,(4-5-0),,,(0-1-0),(0-0-0),(0-1-0),(0-1-0),(5-8-2),(8-6-0)
,213,Hampton,Colonial Athletic,,14-16,192,,235,151,303,,4-Jul,217,9-Apr,194,3-Mar,143,,11-Sep,197,5-May,183,,0-0,0-1,0-1,4-Jan,7-Jun,4-Jul
,,,,,(13-16-1),,,,,,,(7-4-0),,(4-9-0),,(2-3-1),,,(9-11-0),,(4-5-1),,,(0-0-0),(0-1-0),(0-1-0),(1-4-0),(6-7-0),(6-4-1)
,214,Longwood,Big South,,15-14,217,,253,178,---,,4-Sep,246,7-May,226,3-Jan,96,,10-Jul,220,4-Aug,212,,0-0,0-0,0-0,4-Feb,4-Feb,6-Nov
,,,,,(15-14-0),,,,,,,(9-4-0),,(5-7-0),,(1-3-0),,,(7-10-0),,(8-4-0),,,(0-0-0),(0-0-0),(0-0-0),(2-4-0),(2-4-0),(11-6-0)
,215,N_Kentucky,Horizon League,,15-16,196,,252,150,156,,6-Oct,212,10-May,180,0-0,---,,10-Dec,221,6-Mar,136,,0-1,0-0,0-1,0-3,10-Jul,2-Aug
,,,,,(14-15-2),,,,,,,(9-6-1),,(5-9-1),,(0-0-0),,,(11-9-2),,(3-6-0),,,(0-1-0),(0-0-0),(0-1-0),(0-3-0),(6-9-2),(8-2-0)
,216,Wyoming,Mountain West,,20-Nov,149,,241,96,283,,7-Jul,163,10-Mar,139,3-Jan,134,,16-May,122,4-Jun,205,,0-2,0-10,0-12,2-Feb,4-Jan,2-Aug
,,,,,(10-20-1),,,,,,,(6-7-1),,(3-10-0),,(1-3-0),,,(4-16-1),,(6-4-0),,,(0-2-0),(0-10-0),(0-12-0),(2-2-0),(1-4-0),(7-2-1)
,217,Colgate,Patriot League,,13-19,235,,265,211,291,,4-Sep,264,13-Apr,217,0-2,201,,9-Nov,274,10-Feb,171,,0-1,0-0,0-1,Jan-00,7-Jan,11-Nov
,,,,,(13-18-1),,,,,,,(9-4-0),,(4-12-1),,(0-2-0),,,(11-8-1),,(2-10-0),,,(0-1-0),(0-0-0),(0-1-0),(1-0-0),(1-7-0),(11-10-1)
,218,Tennessee_St,Ohio Valley,,14-16,253,,301,224,201,,3-Sep,279,10-Apr,236,3-Jan,237,,13-9,275,7-Jan,193,,0-0,0-1,0-1,0-0,0-5,14-10
,,,,,(13-12-5),,,,,,,(8-2-2),,(4-8-2),,(1-2-1),,,(12-7-3),,(1-5-2),,,(0-0-0),(0-0-1),(0-0-1),(0-0-0),(0-4-1),(13-8-3)
,219,Indiana_St,Missouri Valley,,18-Dec,172,,227,139,117,,6-Jun,172,9-Apr,164,3-Feb,191,,13-Aug,152,5-Apr,218,,0-0,0-1,0-1,0-5,8-Apr,4-Aug
,,,,,(12-15-3),,,,,,,(6-5-1),,(4-7-2),,(2-3-0),,,(8-10-3),,(4-5-0),,,(0-0-0),(0-1-0),(0-1-0),(0-3-2),(4-8-0),(8-3-1)
,220,Queens_NC,Atlantic Sun,,17-14,218,,277,139,254,,5-Jul,243,9-Sep,194,Jan-00,348,,8-Dec,227,6-May,201,,0-1,0-1,0-2,3-Jan,7-Mar,13-2
,,,,,(16-13-2),,,,,,,(7-5-0),,(8-8-2),,(1-0-0),,,(11-7-2),,(5-6-0),,,(0-1-0),(0-1-0),(0-2-0),(1-3-0),(3-6-1),(12-2-1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,221,Southern_Univ,Southwestern Athletic,,17-11,238,,299,139,243,,1-Aug,284,9-Sep,213,0-1,264,,15-4,293,7-Feb,121,,0-1,0-1,0-2,0-3,1-Jan,16-5
,,,,,(16-10-2),,,,,,,(7-1-1),,(9-9-0),,(0-0-1),,,(14-3-2),,(2-7-0),,,(0-1-0),(0-1-0),(0-2-0),(0-3-0),(1-1-0),(15-4-2)
,222,UNC_Asheville,Big South,,17-11,214,,250,147,209,,1-Sep,239,9-Jun,196,1-Feb,217,,6-Dec,224,5-May,196,,0-1,0-0,0-1,3-Jan,4-Mar,13-3
,,,,,(17-9-2),,,,,,,(9-1-0),,(6-7-2),,(2-1-0),,,(12-5-1),,(5-4-1),,,(0-1-0),(0-0-0),(0-1-0),(1-2-1),(3-4-0),(13-2-1)
,223,Jackson_St,Southwestern Athletic,,16-18,215,,303,129,289,,1-Sep,303,15-Jun,174,2-Jan,211,,16-5,298,0-13,81,,0-3,0-1,0-4,0-5,0-4,16-5
,,,,,(15-17-2),,,,,,,(8-1-1),,(6-14-1),,(1-2-0),,,(15-4-2),,(0-13-0),,,(0-3-0),(0-1-0),(0-4-0),(0-5-0),(0-4-0),(15-4-2)
,224,Missouri_St,Missouri Valley,,23-Jul,161,,202,151,154,,8-May,174,12-Jan,160,3-Jan,125,,19-Feb,155,4-May,176,,0-0,0-0,0-0,4-Jan,14-Feb,5-Apr
,,,,,(6-19-5),,,,,,,(4-7-2),,(1-10-2),,(1-2-1),,,(2-16-3),,(4-3-2),,,(0-0-0),(0-0-0),(0-0-0),(1-2-2),(2-12-2),(3-5-1)
,225,Mount St. Mary's,Metro Atlantic Athletic,,21-12,244,,275,202,206,,4-Sep,276,8-Oct,220,Feb-00,256,,15-8,260,4-Jun,207,,0-1,0-0,0-1,0-2,2-Apr,17-7
,,,,,(19-11-3),,,,,,,(9-3-1),,(8-8-2),,(2-0-0),,,(15-7-1),,(4-4-2),,,(0-1-0),(0-0-0),(0-1-0),(0-2-0),(2-2-2),(17-6-1)
,226,William_&_Mary,Colonial Athletic,,15-15,194,,216,173,---,,2-Oct,198,11-Apr,181,2-Jan,246,,8-Nov,194,7-Apr,196,,0-0,0-1,0-1,0-2,9-Jul,3-Aug
,,,,,(15-15-0),,,,,,,(10-2-0),,(4-11-0),,(1-2-0),,,(11-8-0),,(4-7-0),,,(0-0-0),(0-1-0),(0-1-0),(0-2-0),(7-9-0),(8-3-0)
,227,C_Michigan,Mid-American,,17-Oct,201,,249,162,351,,6-May,249,10-May,178,0-1,35,,11-Jul,241,6-Mar,122,,0-2,0-1,0-3,3-Jan,4-Jan,7-Aug
,,,,,(10-16-1),,,,,,,(5-5-1),,(5-10-0),,(0-1-0),,,(7-10-1),,(3-6-0),,,(0-2-0),(0-1-0),(0-3-0),(1-3-0),(1-4-0),(8-6-1)
,228,Idaho_St,Big Sky,,15-Dec,214,,260,182,104,,4-Jul,226,10-May,208,0-1,165,,9-Oct,224,6-Feb,188,,0-0,0-1,0-1,0-2,6-Feb,6-Oct
,,,,,(12-14-1),,,,,,,(7-4-0),,(5-9-1),,(0-1-0),,,(10-8-1),,(2-6-0),,,(0-0-0),(0-1-0),(0-1-0),(0-2-0),(2-5-1),(10-6-0)
,229,SE_Louisiana,Southland,,14-14,226,,271,181,225,,4-May,224,8-Aug,220,2-Jan,258,,9-Oct,232,5-Apr,213,,0-0,0-1,0-1,0-3,3-Mar,7-Nov
,,,,,(13-13-2),,,,,,,(4-4-1),,(8-8-0),,(1-1-1),,,(9-8-2),,(4-5-0),,,(0-0-0),(0-1-0),(0-1-0),(0-3-0),(2-3-1),(11-6-1)
,230,Siena,Metro Atlantic Athletic,,14-18,236,,253,229,215,,5-Sep,259,10-Apr,223,3-Jan,201,,12-Sep,263,6-May,184,,0-0,0-1,0-1,0-0,5-Apr,12-Oct
,,,,,(11-18-3),,,,,,,(7-5-2),,(3-10-1),,(1-3-0),,,(8-12-1),,(3-6-2),,,(0-0-0),(0-1-0),(0-1-0),(0-0-0),(3-5-1),(8-12-2)
,231,Alabama_St,Southwestern Athletic,,18-15,239,,290,179,271,,3-Aug,298,10-Jun,208,2-Apr,215,,15-6,293,9-Mar,145,,0-1,0-0,0-1,0-5,1-Feb,16-8
,,,,,(17-15-1),,,,,,,(7-3-1),,(6-10-0),,(4-2-0),,,(15-6-0),,(2-9-1),,,(0-1-0),(0-0-0),(0-1-0),(0-5-0),(2-1-0),(15-8-1)
,232,Fordham,Atlantic 10,,21-Nov,156,,225,115,202,,8-Jul,182,10-Feb,144,3-Feb,105,,16-Apr,130,5-Jul,198,,0-1,0-1,0-2,0-5,11-May,3-Jun
,,,,,(11-20-1),,,,,,,(7-7-1),,(2-10-0),,(2-3-0),,,(4-15-1),,(7-5-0),,,(0-1-0),(0-1-0),(0-2-0),(0-5-0),(5-11-0),(6-2-1)
,233,Pepperdine,West Coast,,22-Dec,166,,239,126,---,,9-Jun,210,11-Feb,122,2-Apr,152,,15-Jul,144,7-May,206,,0-5,0-1,0-6,7-Feb,4-Jan,5-Sep
,,,,,(12-22-0),,,,,,,(6-9-0),,(2-11-0),,(4-2-0),,,(7-15-0),,(5-7-0),,,(0-5-0),(0-1-0),(0-6-0),(2-7-0),(1-4-0),(9-5-0)
,234,American,Patriot League,,20-12,236,,267,183,239,,13-2,259,10-May,211,Feb-00,251,,16-5,267,7-Apr,175,,0-0,0-1,0-1,0-2,2-Feb,18-7
,,,,,(18-11-3),,,,,,,(12-1-2),,(4-10-1),,(2-0-0),,,(15-5-1),,(3-6-2),,,(0-0-0),(0-1-0),(0-1-0),(0-2-0),(1-2-1),(17-6-2)
,235,Monmouth_NJ,Colonial Athletic,,13-20,197,,237,175,156,,2-Aug,198,14-Apr,199,4-Jan,186,,9-Nov,198,11-Feb,194,,0-2,0-0,0-2,0-2,9-Jul,7-Jun
,,,,,(12-19-2),,,,,,,(7-2-1),,(4-14-0),,(1-3-1),,,(10-8-2),,(2-11-0),,,(0-2-0),(0-0-0),(0-2-0),(0-2-0),(6-8-2),(6-7-0)
,236,Campbell,Colonial Athletic,,13-17,210,,249,184,200,,6-Jun,213,10-Jul,210,0-1,189,,9-Oct,197,8-Mar,233,,0-0,0-2,0-2,0-2,7-May,6-Aug
,,,,,(12-17-1),,,,,,,(6-6-0),,(6-10-1),,(0-1-0),,,(9-9-1),,(3-8-0),,,(0-0-0),(0-2-0),(0-2-0),(0-2-0),(4-7-1),(8-6-0)
,237,Missouri_KC,Summit,,20-Sep,198,,259,170,---,,5-Jun,212,12-Feb,174,3-Jan,242,,13-May,207,7-Apr,182,,0-1,0-1,0-2,0-0,11-Feb,7-Jul
,,,,,(9-20-0),,,,,,,(6-5-0),,(2-12-0),,(1-3-0),,,(5-13-0),,(4-7-0),,,(0-1-0),(0-1-0),(0-2-0),(0-0-0),(2-11-0),(7-7-0)
,238,Bethune-Cookman,Southwestern Athletic,,17-16,224,,284,161,---,,2-Aug,279,13-Jul,190,1-Feb,273,,14-6,285,10-Mar,132,,0-1,0-2,0-3,0-2,4-Jan,16-7
,,,,,(17-16-0),,,,,,,(8-2-0),,(7-13-0),,(2-1-0),,,(14-6-0),,(3-10-0),,,(0-1-0),(0-2-0),(0-3-0),(0-2-0),(1-4-0),(16-7-0)
,239,Dartmouth,Ivy League,,14-Dec,238,,268,215,178,,4-Jul,250,9-May,234,0-1,164,,7-Aug,231,7-Apr,248,,0-0,0-0,0-0,0-3,3-Feb,8-Oct
,,,,,(12-13-1),,,,,,,(7-4-0),,(5-8-1),,(0-1-0),,,(8-7-0),,(4-6-1),,,(0-0-0),(0-0-0),(0-0-0),(0-3-0),(2-2-1),(10-8-0)
,240,Northwestern_LA,Southland,,13-15,191,,247,136,246,,5-Jun,236,9-Jun,169,1-Jan,116,,8-Dec,220,7-Jan,119,,0-1,0-2,0-3,0-4,5-Apr,3-Sep
,,,,,(12-14-2),,,,,,,(6-5-0),,(5-8-2),,(1-1-0),,,(11-8-1),,(1-6-1),,,(0-1-0),(0-2-0),(0-3-0),(0-4-0),(4-4-1),(8-3-1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
