Year,Team,Index,tournamentSeed,bartTorvik_Rk,bartTorvik_Conf,bartTorvik_G,bartTorvik_Wins_Overall,bartTorvik_AdjOE,bartTorvik_AdjDE,bartTorvik_Barthag,bartTorvik_EFG%,bartTorvik_EFGD%,bartTorvik_TOR,bartTorvik_TORD,bartTorvik_ORB,bartTorvik_DRB,bartTorvik_FTR,bartTorvik_FTRD,bartTorvik_2P%,bartTorvik_2P%D,bartTorvik_3P%,bartTorvik_3P%D,bartTorvik_3PR,bartTorvik_3PRD,bartTorvik_Adj T.,bartTorvik_WAB,kenpom_Rk,kenpom_NetRtg,kenpom_ORtg,kenpom_ORtg_Rank,kenpom_DRtg,kenpom_DRtg_Rank,kenpom_AdjT,kenpom_AdjT_Rank,kenpom_Luck,kenpom_Luck_Rank,kenpom_SOS_NetRtg,kenpom_SOS_NetRtg_Rank,kenpom_SOS_ORtg,kenpom_SOS_ORtg_Rank,kenpom_SOS_DRtg,kenpom_SOS_DRtg_Rank,kenpom_NCSOS_NetRtg,kenpom_NCSOS_NetRtg_Rank,BPI,BPI_Rank,BPI_Off,BPI_Def,masseyComposite_Rank,tournamentOutcome,elite8_flag
2008,Arkansas,13,9.0,327.4858934169279,,32,22,108.862,92.428,0.868233,51.896,47.564,22.1226,21.8133,38.217,31.3107,37.3144,36.8172,51.853,46.8102,34.6184,32.548,30.127,35.1199,68.911,1.238,318.93333333333334,15.19,111.4,307.6666666666667,96.2,314.8390804597701,66.5,245.6749311294766,0.008,207.26345609065152,7.19,312.2896935933148,108.4,339.8005540166205,101.2,281.4117647058824,-0.61,198.26815642458095,9.7,325.03975535168195,5.5,4.1,309.4556574923547,R32,0
2008,BYU,19,8.0,326.3448275862069,,34,27,105.1118,89.51,0.863634,53.341,42.85,19.782,19.1278,30.8245,26.24,37.6136,30.349,51.558,42.515,37.475,29.03,38.768,29.634,70.466,2.629,324.7111111111111,15.76,107.4,243.74999999999997,91.7,352.4942528735632,67.8,281.7741046831956,0.027,255.72804532577905,1.47,234.2172701949861,104.2,224.85318559556785,102.7,223.29411764705884,-4.23,84.39106145251397,8.2,307.22935779816515,4.6,3.6,293.8715596330275,R64,0
2008,Mississippi St.,185,8.0,325.2037617554859,,32,22,106.589,90.714,0.863535,52.374,42.43,21.9214,18.2307,35.281,32.6151,38.3121,27.317,53.52,39.41,33.4232,32.034,36.8103,34.7183,68.6121,0.643,327.02222222222224,16.77,108.2,265.41666666666663,91.5,353.54022988505744,66.6,247.68044077134985,-0.043,78.36827195467421,6.22,298.09470752089135,108.1,329.7174515235457,101.8,265.09803921568624,-1.48,174.8826815642458,11.0,333.9449541284404,5.5,5.5,312.79510703363917,R32,0
2008,Oklahoma,230,6.0,322.92163009404385,,33,22,108.171,92.532,0.855937,50.1157,46.232,19.674,20.2213,33.5139,30.057,38.1127,30.453,49.014,45.464,34.8173,31.931,33.5182,35.0196,65.4246,2.827,314.31111111111113,14.47,109.5,284.9166666666667,95.1,326.3448275862069,63.1,108.29752066115702,0.077,341.314447592068,9.45,346.76323119777163,108.3,334.7590027700831,98.9,349.72549019607845,-0.55,201.31843575418995,9.5,321.70030581039754,2.6,6.9,328.37920489296636,R32,0
2008,Saint Mary's,266,10.0,321.78056426332284,,30,24,108.466,92.938,0.854838,52.76,44.718,18.947,20.9178,36.062,31.3107,39.0102,30.655,52.145,44.131,35.8135,31.017,37.982,26.16,68.2131,1.337,316.6222222222222,14.66,109.2,282.75,94.6,331.5747126436782,66.4,240.6611570247934,0.03,266.0396600566572,0.11,211.9108635097493,103.4,189.5623268698061,103.3,209.01960784313724,2.34,275.5418994413408,9.0,312.79510703363917,5.1,3.9,341.73700305810394,R64,0
2008,Baylor,21,11.0,319.4984326018809,,30,20,114.715,98.5104,0.85144,52.182,48.083,17.211,19.5259,31.8211,32.6151,36.119,39.9239,49.7113,46.385,37.664,34.714,36.4112,29.936,71.731,1.535,317.77777777777777,14.82,115.7,344.5,100.9,246.8505747126437,70.1,340.9366391184573,-0.028,115.4900849858357,7.58,318.37325905292477,106.9,300.4764542936288,99.3,339.5294117647059,-4.83,74.22346368715084,7.8,302.77675840978594,12.6,-4.8,335.0581039755352,R64,0
2008,Oregon,234,9.0,318.3573667711599,,31,18,117.95,101.5166,0.848141,56.34,50.2184,18.638,16.4337,32.319,31.2104,36.9164,33.3105,53.913,50.124,40.11,33.683,39.067,35.3206,67.9139,0.84,323.55555555555554,15.66,118.8,359.6666666666667,103.1,197.6896551724138,65.8,220.60606060606065,-0.035,97.96033994334276,10.56,359.9442896935933,108.9,350.8919667590028,98.4,358.90196078431376,0.11,219.6201117318436,9.9,327.26605504587155,11.0,-1.1,317.2477064220183,R64,0
2008,Miami FL,177,7.0,316.0752351097179,,31,21,110.843,95.766,0.844143,49.2187,46.945,19.151,20.7188,35.477,34.2237,39.493,35.3144,45.9264,44.03,37.857,35.0162,31.1243,33.6143,67.5155,1.633,322.4,15.38,112.5,317.4166666666667,97.1,301.2413793103448,65.8,219.60330578512395,-0.003,183.54674220963173,7.78,320.40111420612817,106.7,294.42659279778394,98.9,348.7058823529412,-5.55,64.05586592178771,10.4,330.60550458715596,8.1,2.2,315.0214067278287,R32,0
2008,UNLV,338,8.0,312.65203761755487,,32,25,108.467,94.144,0.836346,48.8207,46.129,15.86,21.6147,29.4281,32.4144,32.7263,32.486,47.7198,46.71,33.5228,29.98,39.854,37.2253,66.1212,2.331,309.68888888888887,13.71,110.2,292.5,96.5,311.7011494252874,63.9,141.38842975206612,0.081,343.37677053824365,3.1,255.50974930362116,104.3,232.9196675900277,101.2,282.4313725490196,-0.86,191.1508379888268,8.6,311.68195718654437,2.6,6.0,311.68195718654437,R32,0
2008,Saint Joseph's,264,11.0,311.51097178683386,,33,21,113.523,98.8108,0.831347,54.616,50.3193,19.358,21.6147,32.5177,34.1232,40.083,32.689,52.831,47.2116,38.535,36.9271,35.8129,37.7267,65.5235,-1.262,313.15555555555557,14.32,115.1,338.0,100.8,249.98850574712645,64.0,148.4077134986226,-0.069,37.12181303116147,5.81,290.99721448467966,106.9,301.48476454293626,101.1,285.4901960784314,1.34,249.10614525139664,9.3,320.5871559633028,6.1,3.2,302.77675840978594,R64,0
